bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joshua1:1,PHRASE,Now it came,H1961,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,about after,H310,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,of Moses,H4872,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,the servant,H5650,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,of the LORD,H3068,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,that the LORD,H3068,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,WORD,spoke,H559,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,to Joshua,H3091,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,PHRASE,of Nun,H5126,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,WORD,Moses',H4872,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,WORD,servant,H8334,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:1,WORD,saying,H559,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,Moses,H4872,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,My servant,H5650,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,is dead,H4191,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,now,H6258,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,therefore arise,H6965,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,cross,H5674,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,this,H2088,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,Jordan,H3383,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,you and all,H3605,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,this,H2088,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,people,H5971,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,to the land,H776,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,WORD,which,H834,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,I am giving,H5414,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,"to them, to the sons",H1121,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:2,PHRASE,of Israel,H3478,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,WORD,Every,H3605,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,WORD,place,H4725,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,on which,H834,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,the sole,H3709,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,of your foot,H7272,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,WORD,treads,H1869,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,I have given,H5414,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,"it to you, just",H834,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,as I spoke,H1696,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:3,PHRASE,to Moses,H4872,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,From the wilderness,H4057,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,and this,H2088,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,WORD,Lebanon,H3844,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,even as far,H5704,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,as the great,H1419,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,WORD,river,H5104,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,the river,H5104,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,WORD,Euphrates,H6578,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,WORD,all,H3605,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,the land,H776,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,of the Hittites,H2850,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,and as far,H5704,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,as the Great,H1419,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,WORD,Sea,H3220,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,toward the setting,H3996,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,of the sun,H8121,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:4,PHRASE,will be your territory,H1366,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,WORD,No,H3808,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,WORD,man,H376,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,PHRASE,will be able to stand,H3320,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,WORD,before,H6440,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,PHRASE,you all,H3605,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,PHRASE,the days,H3117,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,PHRASE,of your life,H2416,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,WORD,Just,H834,Historical Books (Former Prophets),Old Testament,Joshua,NLT
1,Joshua1:5,PHRASE,as I have been,H1961,Historical Books (Former Prophets),Old Testament,Joshua,NLT
