bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nahum1:1,PHRASE,The oracle,H4853,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:1,PHRASE,of Nineveh,H5210,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:1,PHRASE,The book,H5612,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:1,PHRASE,of the vision,H2377,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:1,PHRASE,of Nahum,H5151,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:1,PHRASE,the Elkoshite,H512,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,A jealous,H7072,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,and avenging,H5358,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,WORD,God,H410,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,is the LORD,H3068,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,is avenging,H5358,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,and wrathful,H1167,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,WORD,,H2534,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,WORD,takes,H5358,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,WORD,vengeance,H5358,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,on His adversaries,H6862,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,And He reserves,H5201,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,WORD,wrath,H2534,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:2,PHRASE,for His enemies,H340,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,is slow,H750,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,to anger,H639,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,and great,H1419,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,in power,H3581,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,And the LORD,H3068,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,will by no,H3808,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,WORD,means,H5352,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,WORD,leave,H5352,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,the guilty unpunished,H5352,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,In whirlwind,H5492,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,and storm,H8183,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,is His way,H1870,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,And clouds,H6051,Minor Prophets,Old Testament,Nahum,NLT
1,Nahum1:3,PHRASE,are the dust,H80,Minor Prophets,Old Testament,Nahum,NLT
