strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G1,ἄλφα,Indeclinable Letter (Noun),alpha,AL-fah,(al'-fah),Alpha,[of Hebrew origin],
G2,Ἀαρών,"Proper Noun, Indeclinable",Aarón,ah-ah-RONE,(ah-ar-ohn'),Aaron,[of Hebrew origin (,"Aaron, Aaron's"
G3,Ἀβαδδών,"Proper Noun, Indeclinable",Abaddón,ah-bah-DON,(ab-ad-dohn'),Abaddon,[of Hebrew origin (,Abaddon
G4,ἀβαρής,Adjective,abarés,ah-bar-ACE,(ab-ar-ace'),from being burdensome,[from,from being a burden
G5,Ἀββᾶ,"Proper Noun, Indeclinable",Abba,ahb-bah',(ab-bah'),Abba,[of Chaldee origin (H2)],Abba
G6,Ἅβελ,"Proper Noun, Indeclinable",Habel,HA-bel,(ab'-el),Abel,[of Hebrew origin (,Abel
G7,Ἀβιά,"Proper Noun, Indeclinable",Abia,ah-bee-AH,(ab-ee-ah'),Abia,[of Hebrew origin (,Abijah
G8,Ἀβιάθαρ,"Proper Noun, Indeclinable",Abiathar,ah-bee-AH-thar,(ab-ee-ath'-ar),Abiathar,[of Hebrew origin (,Abiathar
G9,Ἀβιληνή,"Noun, Feminine",Abiléné,ah-bee-lay-NAY,(ab-ee-lay-nay'),Abilene,[of foreign origin],Abilene
G10,Ἀβιούδ,"Proper Noun, Indeclinable",Abioud,ah-bee-OOD,(ab-ee-ood'),Abiud,[of Hebrew origin (,Abihud
G11,Ἀβραάμ,"Proper Noun, Indeclinable",Abraam,ah-brah-AHM,(ab-rah-am'),Abraham,[of Hebrew origin (,"Abraham, Abraham's"
G12,ἄβυσσος,"Noun, Feminine",abussos,ä'-bü-sos,(ab'-us-sos),"deep, (bottomless) pit",[from,"abyss, bottomless"
G13,Ἄγαβος,"Noun, Masculine",Agabos,AH-gah-bos,(ag'-ab-os),Agabus,[of Hebrew origin],Agabus
G14,ἀγαθοεργέω,Verb,agathoergeó,ag-ath-o-er-GEH-o,(ag-ath-er-gheh'-o),do good,[from,do good
G15,ἀγαθοποιέω,Verb,agathopoieó,ag-ath-op-oy-EH-o,(ag-ath-op-oy-eh'-o),(when) do good (well),[from,"do good, do what is right, do right, does good, doing right, doing what is right"
G16,ἀγαθοποιΐα,"Noun, Feminine",agathopoiia,ag-ath-op-oy-EE-ah,(ag-ath-op-oy-ee'-ah),well-doing,[from,"doing what, doing what is right"
G17,ἀγαθοποιός,Adjective,agathopoios,ag-ath-op-oy-os,(ag-ath-op-oy-os'),them that do well,[from,
G18,ἀγαθός,Adjective,agathos,ä-gä-thos',(ag-ath-os'),"benefit, good(-s, things), well",[a primary word],"good, good thing, good things, good man, goods, generous, goodness"
G19,ἀγαθωσύνη,"Noun, Feminine",agathosune,ag-ath-o-soo'-nay,(ag-ath-o-soo'-nay),goodness,[from,
G20,ἀγαλλίασις,"Noun, Feminine",agalliasis,ä-gäl-lē'-ä-sēs,(ag-al-lee'-as-is),"gladness, (exceeding) joy",[from,"gladness, great joy, joy"
