strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,NASB,Word Origin
H1,אָב,Noun Masculine,ab,ahv,(awb),"chief, (fore-)father(-less), X patrimony, principal","father, fathers, father's, fathers', forefathers, households","[a primitive word. Compare names beginning with ""Abi-""]"
H2,אַב,Noun Masculine,ab,ahv,(ab),,"father, fathers",[(Aramaic) corresponding to
H3,אֵב,Noun Masculine,eb,ayb,(abe),"greenness, fruit","blossoms, green",[from the same as
H4,אֵב,Noun Masculine,eb,ayb,(abe),,fruit,[(Aramaic) corresponding to
H5,אֲבִַגְתָא,Proper Name Masculine,Abagtha',a-vag-THA,(ab-ag-thaw'),Abagtha,Abagtha,[of foreign origin]
H6,אָבַד,Verb,abad,ah-vad',(aw-bad'),"break, destroy(-uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee","perish, destroy, perished, destroyed, lost, perishes, ruined",[a primitive root]
H7,אֲבַד,Verb,abad,ah-VAHD,(ab-ad'),,"destroy, destroyed, perish",[(Aramaic) corresponding to
H8,אֹבֵד,Noun Masculine,obed,oh-BED,(o-bade'),perish,destruction,[active of participle of
H9,אֲבֵדָה,Noun Feminine,abedah,ah-veh-DAH,(ab-ay-daw'),lost,"lost thing, lost, what was lost",[from
H10,אֲבַדֹּה,Noun Feminine,abaddoh,ah-vah-DOHN,(ab-ad-do'),destruction,,[the same as
H11,אֲבַדּוֹן,Proper Name Location,abaddown,ah-vad-dohn,(ab-ad-done'),destruction,Abaddon,[intensive from
H12,אַבְדָן,Noun Masculine,abdan,av-dawn',(ab-dawn'),destruction,"destroying, destruction",[from
H13,אָבְדָן,Noun Masculine,obdan,ohv-dawn,(ob-dawn'),destruction,,[from
H14,אָבָה,Verb,abah,ah-VAH,(aw-baw'),"consent, rest content will, be willing","willing, would, consent, obey, satisfied, want, would accept",[a primitive root]
H15,אָבֶה,Noun Feminine,abeh,ah-veh',(aw-beh'),desire,,[from
H16,אֵבֶה,Noun Masculine,ebeh,ay'-beh,(ay-beh'),swift,reed,[from
H17,אֲבוֹי,Interjection,abowy,ah-VOY,(ab-o'ee),sorrow,sorrow,[from
H18,אֵבוּס,Noun Masculine,ebuwc,ay-BOOS,(ay-booce'),crib,manger,[from
H19,אִבְחָה,Noun Feminine,ibchah,ib-khaw',(ib-khaw'),point,glittering,[from an unused root (apparently meaning to turn)]
H20,אֲבַטִּיחַ,Noun Masculine,abattiyach,ah-vat-tee'-akh,(ab-at-tee'-akh),melon,melons,[of uncertain derivation]
H21,אֲבִי,Proper Name Feminine,Abiy,ah-VEE,(ab-ee'),Abi,Abi,[from
H22,אֲבִיאֵל,Proper Name Masculine,Abiy'el,ah-vee-EL,(ab-ee-ale'),Abiel,Abiel,[from
H23,אֲבִיאָסָף,Proper Name Masculine,Abiy'acaph,ah-vee-ah-sahf,(ab-ee-aw-sawf'),Abiasaph,Abiasaph,[from
H24,אָבִיב,Noun Masculine,abiyb,ah-VEEB,(aw-beeb'),"Abib, ear, green ears of corn (not maize)","Abib, ear, fresh heads, fresh heads of grain",[from an unused root (meaning to be tender)]
H25,אֲבִי גִבְעוֹן,Proper Name Masculine,Abiy Gib`own,ah-vee ghee-BOHN,(ab-ee' ghib-one'),father of Gibeon,,[from
H26,אֲבִיגַיִל,Proper Name Feminine,Abiygayil,ah-bee-gah-yeel,(ab-ee-gah'-yil),Abigal,Abigail,[from
H27,אֲבִידָן,Proper Name Masculine,Abiydan,ah-vee-DAHN,(ab-ee-dawn'),Abidan,Abidan,[from
H28,אֲבִידָע,Proper Name Masculine,Abiyda`,ah-vee-DAH,(ab-ee-daw'),"Abida, Abidah",Abida,[from
H29,אֲבִיָּה,Proper Name Masculine,Abiyah,ah-bee-YAH,(ab-ee-yaw'),"Abiah, Abijah",Abijah,[from
H30,אֲבִיהוּא,Proper Name Masculine,Abiyhuw',ah-vee-HOO,(ab-ee-hoo'),Abihu,Abihu,[from
H31,אֲבִיהוּד,Proper Name Masculine,Abiyhuwd,a-vee-HOOD,(ab-ee-hood'),Abihud,Abihud,[from
H32,אֲבִיהַיִל,Proper Name Masculine,Abiyhayil,ah-bee-hah'-yil,(ab-ee-hah'-yil),Abihail,Abihail,[from
H33,אֲבִי הָעֶזְרִי,Proper Name Masculine,Abiy ha-`Ezriy,ah-vee hah-ehz-ree,(ab-ee'-haw-ez-ree'),Abiezrite,"Abiezrites, Abiezrite",[from
H34,אֶבְיוֹן,Adjective,ebyown,eb-yone',(eb-yone'),"beggar, needy, poor (man)","needy, poor, needy one, poor man",[from
H35,אֲבִיּוֹנָה,Noun Feminine,abiyownah,ah-bee-yoh-NAH,(ab-ee-yo-naw'),desire,caperberry,[from
H36,אֲבִיטוּב,Proper Name Masculine,Abiytuwb,ah-vee-TOOB,(ab-ee-toob'),Abitub,Abitub,[from
H37,אֲבִיטַל,Proper Name Feminine,Abiytal,ah-vee-TAHL,(ab-ee-tal'),Abital,Abital,[from
H38,אֲביָּם,Proper Name Masculine,Abiyam,ah-bee-YAHM,(ab-ee-yawm'),Abijam,Abijam,[from
H39,אֲבִימָאֵל,"proper name, masculine",Abiyma'el,ah-bee-mah-ale,(ab-ee-maw-ale'),Abimael,Abimael,[from
H40,אֲבִימֶלֶךְ,Proper Name Masculine,Abiymelek,ah-vee-MEH-lek,(ab-ee-mel'-ek),Abimelech,"Abimelech, Abimelech's",[from
H41,אֲבִינָדָב,Proper Name Masculine,Abiynadab,ah-bee-nah-dahb,(ab-ee-naw-dawb'),Abinadab,Abinadab,[from
H42,אֲבִינֹּעַם,Proper Name Masculine,Abiyno`am,ah-bee-NO-am,(ab-ee-no'-am),Abinoam,Abinoam,[from
H43,אֶבְיָסָף,Proper Name Masculine,Ebyacaph,eb-yaw-sawf',(eb-yaw-sawf'),Ebiasaph,Ebiasaph,[contracted from
H44,אֲבִיעֶזר,Proper Name Masculine,Abiy`ezer,ah-vee-EH-zer,(ab-ee-ay'-zer),Abiezer,"Abiezer, Abiezrites",[from
H45,אֲבִי־עַלבוֹן,Proper Name Masculine,Abiy-`albown,ah-vee-ahl-BOHN,(ab-ee-al-bone'),Abialbon,Abi-albon,[from
H46,אָבִיר,Adjective Masculine,abiyr,ah-beer',(aw-beer'),mighty (one),Mighty One,[from
H47,אַבִּיר,Adjective Masculine,abbiyr,ah-beer',(ab-beer'),"angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant","stallions, bulls, angels, chief, man, mighty, mighty ones",[from
H48,אֲבִירָם,Proper Name Masculine,Abiyram,ah-bee-RAHM,(ab-ee-rawm'),Abiram,Abiram,[from
H49,אֲבִישַׁג,Proper Name Feminine,Abiyshag,ah-vee-SHAHG,(ab-ee-shag'),Abishag,Abishag,[from
H50,אֲבִישׁוּעַ,Proper Name Masculine,Abiyshuwae,ah-vee-SHOO-ah,(ab-ee-shoo'-ah),Abishua,Abishua,[from
H51,אֲבִישׁוּר,Proper Name Masculine,Abiyshuwr,ah-vee-SHOOR,(ab-ee-shoor'),Abishur,"Abishur, Abishur's",[from
H52,אֲבִישַׁי,Proper Name Masculine,Abiyshay,ah-vee-SHY,(ab-ee-shah'ee),Abishai,"Abishai, Abshai",[from
H53,אֲבִישָׁלוֹם,Proper Name Masculine,Abiyshalowm,ah-bee-shah-lohm,(ab-ee-shaw-lome'),"Abishalom, Absalom","Absalom, Absalom's, Abishalom",[from
H54,אֶבְיָתָר,Proper Name Masculine,Ebyathar,eb-yaw-THAR,(ab-yaw-thawr'),Abiathar,"Abiathar, Abiathar's",[contracted from
H55,אָבַךְ,Verb,abak,ah-BAHK,(aw-bak'),mount up,roll upward,[a primitive root]
H56,אָבַל,Verb,abal,ah-VAHL,(aw-bal'),"lament, mourn","mourn, mourns, mourned, mourning, caused lamentations, grieve, grieved",[a primitive root]
H57,אָבֵל,Adjective,abel,ah-vel,(aw-bale'),"mourn(-er, -ing)","mourning, mourn, mourners, one who sorrows",[from
H58,אָבֵל,Noun Feminine,abel,ah-vel,(aw-bale'),plain,,[from an unused root (meaning to be grassy)]
