verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now there was,H1961,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,a certain,H259,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,man,H376,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,of,H4480,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"Ramathaimzophim,",H7436,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,,H7436,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,of mount,H2022,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"Ephraim,",H669,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,and his name,H8034,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,[was],,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"Elkanah,",H511,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of Jeroham,",H3395,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of Elihu,",H453,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of Tohu,",H8459,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of Zuph,",H6689,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,an Ephrathite:,H673,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,And he had,,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,two,H8147,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,wives;,H802,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,of the one,H259,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,[was],,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"Hannah,",H2584,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,and the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,of the other,H8145,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,Peninnah:,H6444,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,and,H1961,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,Peninnah,H6444,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,had,H1961,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"children,",H3206,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,but Hannah,H2584,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,had no,H369,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,children.,H3206,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,And,H5927,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,this,H1931,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,man,H376,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,went up,H5927,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,out of his city,H5892,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,yearly,H3117,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,,H3117,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,to worship,H7812,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,and to sacrifice,H2076,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,unto the LORD,H3068,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,of hosts,H6635,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,in Shiloh.,H7887,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,And,H8033,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the two,H8147,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,sons,H1121,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of Eli,",H5941,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,Hophni,H2652,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"and Phinehas,",H6372,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the priests,H3548,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"of the LORD,",H3068,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,[were] there.,H8033,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,And when,H1961,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,the time,H3117,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,was,H2076,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,that Elkanah,H511,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,"offered,",H2076,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,he gave,H5414,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,to Peninnah,H6444,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"his wife,",H802,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,and to all,H3605,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,her sons,H1121,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,"and her daughters,",H1323,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,portions:,H4490,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,But unto Hannah,H2584,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
PHRASE,he gave,H5414,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,a,H259,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
WORD,worthy,H639,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ASV
