bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Thessalonians1:1 ,WORD,Paul,G3972,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,Silvanus,G4610,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,Timothy,G5095,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,PHRASE,To the,G3588,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,church,G1577,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,PHRASE,of the Thessalonians,G2331,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,in,G1722,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,God,G2316,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,PHRASE,the Father,G3962,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,PHRASE,the Lord,G2962,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,Christ,G5547,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,Grace,G5485,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,PHRASE,to you,G4771,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:1 ,WORD,peace,G1515,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,PHRASE,We give thanks,G2168,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,PHRASE,to God,G2316,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,always,G3842,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,for,G4012,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,all,G3956,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,PHRASE,of you,G4771,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,making,G4160,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,PHRASE,mention of you,G3417,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,in,G1909,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,our,G1473,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:2 ,WORD,prayers,G4335,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,constantly,G89,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,bearing in mind,G3421,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,your,G4771,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,work,G2041,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,of faith,G4102,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,labor,G2873,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,of love,G26,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,steadfastness,G5281,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,of hope,G1680,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,in our,G1473,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,Lord,G2962,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,Christ,G5547,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,in the presence,G1715,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,PHRASE,of our,G1473,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,God,G2316,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:3 ,WORD,Father,G3962,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,WORD,knowing,G1492,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,WORD,brethren,G80,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,WORD,beloved,G25,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,WORD,by,G5259,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,WORD,God,G2316,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,PHRASE,His choice,G1589,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:4 ,PHRASE,of you,G4771,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,for,G3754,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,PHRASE,our gospel,G2098,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,PHRASE,did not,G3756,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,come,G1096,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,to,G1519,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,you,G4771,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,in,G1722,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,word,G3056,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,only,G3440,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,but,G235,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,also,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,in,G1722,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,power,G1411,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,in,G1722,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,PHRASE,the Holy,G40,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,Spirit,G4151,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,with,G1722,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,full,G4183,Epistles,New Testament,1 Thessalonians,ASV
1,1 Thessalonians1:5 ,WORD,conviction,G4136,Epistles,New Testament,1 Thessalonians,ASV
