verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came to pass,H1961,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,in the thirtieth,H7970,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,"year,",H8141,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,in the fourth,H7243,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,"[month],",,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,in the fifth,H2568,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,[day],,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of the month,",H2320,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,as I [was],H589,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,among,H8432,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,the captives,H1473,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,by,H5921,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,the river,H5104,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of Chebar,",H3529,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,[that],,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,the heavens,H8064,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,"were opened,",H6605,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,and I saw,H7200,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
WORD,visions,H4759,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,of God.,H430,1,Ezekiel 1:1,Epistles,New Testament,Ezekiel,ASV
PHRASE,In the fifth,H2568,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,[day],,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of the month,",H2320,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,which,H1931,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,[was],,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,the,H8141,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,fifth,H2549,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,year,H8141,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,of,H3112,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,king,H4428,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,Jehoiachin's,H3112,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
WORD,"captivity,",H1546,1,Ezekiel 1:2,Epistles,New Testament,Ezekiel,ASV
PHRASE,The word,H1697,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,of the LORD,H3068,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,came,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,expressly,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,unto,H413,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,Ezekiel,H3168,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,"the priest,",H3548,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,the son,H1121,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of Buzi,",H941,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,in the land,H776,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,of the Chaldeans,H3778,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,by,H5921,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,the river,H5104,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,Chebar;,H3529,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,and,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,the hand,H3027,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,of the LORD,H3068,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,was,H1961,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
WORD,there,H8033,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,upon him.,H5921,1,Ezekiel 1:3,Epistles,New Testament,Ezekiel,ASV
PHRASE,"And I looked,",H7200,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,"and, behold,",H2009,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,a whirlwind,H7307,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,,H5591,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,came,H935,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,out,H4480,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of the north,",H6828,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,a,H6051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,great,H1419,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,"cloud,",H6051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,and a fire,H784,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,"infolding itself,",H3947,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,and a brightness,H5051,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,[was],,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,about,H5439,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
WORD,"it,",,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,and out of the midst thereof,H8432,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,as the colour,H5869,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,"of amber,",H2830,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,out of the midst,H8432,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,of the fire.,H784,1,Ezekiel 1:4,Epistles,New Testament,Ezekiel,ASV
PHRASE,Also out of the midst thereof,H8432,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
WORD,[came],,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,the likeness,H1823,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,of four,H702,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,living creatures.,H2416,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,And this,H2088,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
WORD,[was],,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,their appearance;,H4758,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,they had,H2007,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,the likeness,H1823,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
PHRASE,of a man.,H120,1,Ezekiel 1:5,Epistles,New Testament,Ezekiel,ASV
WORD,And,H702,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
PHRASE,every one had,H259,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,four,H702,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,"faces,",H6440,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,and,H702,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
PHRASE,every one,H259,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,had,,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,four,H702,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
WORD,wings.,H3671,1,Ezekiel 1:6,Epistles,New Testament,Ezekiel,ASV
PHRASE,And their feet,H7272,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,[were],,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,straight,H3477,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,feet;,H7272,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,and the sole,H3709,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,of their feet,H7272,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,[was],,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,like the sole,H3709,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,of a calf's,H5695,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,foot:,H7272,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,and they sparkled,H5340,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,like the colour,H5869,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,of burnished,H7044,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
WORD,brass.,H5178,1,Ezekiel 1:7,Epistles,New Testament,Ezekiel,ASV
PHRASE,And [they had] the hands,H3027,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
PHRASE,of a man,H120,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,under,H8478,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
PHRASE,their wings,H3671,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,on,H5921,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,their,H7253,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,four,H702,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,sides;,H7253,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
WORD,and,H6440,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
PHRASE,they four had,H702,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
PHRASE,their faces,H6440,1,Ezekiel 1:8,Epistles,New Testament,Ezekiel,ASV
