bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ezra1:1,PHRASE,Now in the first,H259,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,WORD,year,H8141,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of Cyrus,H3566,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,WORD,king,H4428,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of Persia,H6539,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,in order to fulfill,H3615,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,the word,H1697,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of the LORD,H3068,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,by the mouth,H6310,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of Jeremiah,H3414,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,the LORD,H3068,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,WORD,stirred,H5782,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,up the spirit,H7307,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of Cyrus,H3566,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,WORD,king,H4428,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,of Persia,H6539,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,so that he sent,H5674,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,a proclamation,H6963,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,throughout all,H3605,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,his kingdom,H4438,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,and also,H1571,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,PHRASE,put it in writing,H4385,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:1,WORD,saying,H559,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,WORD,Thus,H3541,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,WORD,says,H559,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,WORD,Cyrus,H3566,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,WORD,king,H4428,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,PHRASE,of Persia,H6539,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,PHRASE,The LORD,H3068,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,PHRASE,the God,H430,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,PHRASE,of heaven,H8064,Historical Books (Former Prophets),Old Testament,Ezra,ASV
1,Ezra1:2,PHRASE,has given,H5414,Historical Books (Former Prophets),Old Testament,Ezra,ASV
