bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Isaiah1:1,PHRASE,The vision,H2377,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,of Isaiah,H3470,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,the son,H1121,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,of Amoz,H531,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,concerning,H5921,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,Judah,H3063,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,and Jerusalem,H3389,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,which,H834,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,he saw,H2372,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,during the reigns,H3117,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,of Uzziah,H5818,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,Jotham,H3147,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,Ahaz,H271,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,and,,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,Hezekiah,H2396,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,WORD,kings,H4428,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:1,PHRASE,of Judah,H3063,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,WORD,Listen,H8085,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,O heavens,H8064,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,and hear,H238,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,O earth,H776,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,WORD,For,H3588,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,WORD,speaks,H1696,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,WORD,Sons,H1121,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,I have reared,H1431,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,"and brought up,",H7311,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,But they,H1992,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,have revolted,H6586,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:2,PHRASE,against Me,,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,PHRASE,An ox,H7794,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,knows,H3045,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,PHRASE,its owner,H7069,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,PHRASE,And a donkey,H2543,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,PHRASE,its master's,H1167,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,manger,H18,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,But,,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,Israel,H3478,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,does,H3045,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,not,H3808,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,know,H3045,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,PHRASE,My people,H5971,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,do,H995,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,not,H3808,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:3,WORD,understand,H995,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,Alas,H1945,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,sinful,H2398,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,nation,H1471,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,People,H5971,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,weighed down,H3515,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,with iniquity,H5771,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,Offspring,H2233,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,of evildoers,H7489,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,WORD,Sons,H1121,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,who act corruptly,H7843,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,They have abandoned,H5800,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,They have despised,H5006,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,the Holy One,H6918,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,of Israel,H3478,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,They have turned away,H2114,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:4,PHRASE,from Him,H268,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,WORD,Where,H4100,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,PHRASE,will you be stricken,H5221,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,WORD,again,H5750,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,WORD,As,,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,PHRASE,you continue,H3254,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,WORD,in,H5627,Major Prophets,Old Testament,Isaiah,ASV
1,Isaiah1:5,WORD,your,,Major Prophets,Old Testament,Isaiah,ASV
