bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Judges1:1,PHRASE,Now it came,H1961,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,about after,H310,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,of Joshua,H3091,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,that the sons,H1121,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,of Israel,H3478,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,WORD,inquired,H7592,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,of the LORD,H3068,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,WORD,saying,H559,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,WORD,Who,H4310,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,shall go,H5927,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,up first,H8462,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,for us against,H413,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,the Canaanites,H3669,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,to fight,H3898,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:1,PHRASE,against them,,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:2,PHRASE,The LORD,H3068,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:2,WORD,said,H559,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:2,WORD,Judah,H3063,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:2,PHRASE,shall go,H5927,Historical Books (Former Prophets),Old Testament,Judges,ASV
1,Judges1:2,PHRASE,up; behold,H2009,Historical Books (Former Prophets),Old Testament,Judges,ASV
