bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Luke1:1 ,WORD,Inasmuch,G1895,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,PHRASE,as many,G4183,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,PHRASE,have undertaken,G2021,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,PHRASE,to compile,G392,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,PHRASE,an account,G1335,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,WORD,of,G4012,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,PHRASE,the things,G4229,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,WORD,accomplished,G4135,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,WORD,among,G1722,Gospels,New Testament,Luke,ASV
1,Luke1:1 ,WORD,us,G1473,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,just as,G2531,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,they were handed down,G3860,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,to us,G1473,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,by those who,G3588,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,from,G575,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,the beginning,G746,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,were,G1096,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,eyewitnesses,G845,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,and,G2532,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,servants,G5257,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,ASV
1,Luke1:2 ,WORD,word,G3056,Gospels,New Testament,Luke,ASV
1,Luke1:3 ,PHRASE,it seemed fitting,G1380,Gospels,New Testament,Luke,ASV
