bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Micah1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,which,H834,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,to Micah,H4318,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,of Moresheth,H4183,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,of Jotham,H3147,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,Ahaz,H271,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,and Hezekiah,H2396,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,kings,H4428,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,which,H834,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,he saw,H2372,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,concerning,H5921,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,WORD,Samaria,H8111,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:1,PHRASE,and Jerusalem,H3389,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,WORD,Hear,H8085,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,O peoples,H5971,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,WORD,all,H3605,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,of you; Listen,H7181,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,O earth,H776,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,and all,H4393,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,it contains,H4393,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,And let the Lord,H136,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,WORD,GOD,H3068,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,be a witness,H5707,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,"against you, The Lord",H136,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,PHRASE,from His holy,H6944,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:2,WORD,temple,H1964,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,For behold,H2009,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,is coming,H3318,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,WORD,forth,H3318,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,from His place,H4725,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,He will come,H3381,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,WORD,down,H3381,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,and tread,H1869,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,on the high,H1116,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,WORD,places,H1116,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:3,PHRASE,of the earth,H776,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,The mountains,H2022,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,will melt,H4549,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,under,H8478,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,Him And the valleys,H6010,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,will be split,H1234,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,Like wax,H1749,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,before,H4480,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,,H6440,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,the fire,H784,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,Like water,H4325,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,poured,H5064,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,down,H5064,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,PHRASE,a steep,H4174,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:4,WORD,place,H4174,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,WORD,All,H3605,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,WORD,this,H2088,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,is for the rebellion,H6588,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,of Jacob,H3290,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,And for the sins,H2403,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,of the house,H1004,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,WORD,What,H4310,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,is the rebellion,H6588,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,of Jacob,H3290,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,Is it not Samaria,H8111,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,WORD,What,H4310,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,is the high,H1116,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,WORD,place,H1116,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:5,PHRASE,Is it not Jerusalem,H3389,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,For I will make,H7760,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,WORD,Samaria,H8111,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,a heap,H5856,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,of ruins,H5856,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,in the open country,H7704,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,WORD,Planting,H4302,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,WORD,places,H4302,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,for a vineyard,H3754,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,I will pour,H5064,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,her stones,H68,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,WORD,down,H5064,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,into the valley,H1516,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,And will lay,H1540,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,WORD,bare,H1540,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:6,PHRASE,her foundations,H3247,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,WORD,All,H3605,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,of her idols,H6456,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,will be smashed,H3807,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,WORD,All,H3605,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,of her earnings,H868,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,will be burned,H8313,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,with fire,H784,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,And all,H3605,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,of her images,H6091,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,I will make,H7760,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,WORD,desolate,H8077,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,For she collected,H6908,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,them from a harlot's,H2181,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,WORD,earnings,H868,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,And to the earnings,H868,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,of a harlot,H2181,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:7,PHRASE,they will return,H7725,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,WORD,Because,H5921,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,of this,H2088,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,I must lament,H5594,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,and wail,H3213,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,I must go,H1980,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,WORD,barefoot,H7758,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,and naked,H6174,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,I must make,H6213,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,a lament,H4553,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,like the jackals,H8565,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,And a mourning,H60,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:8,PHRASE,like the ostriches,H3284,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:9,PHRASE,For her wound,H4347,Minor Prophets,Old Testament,Micah,ASV
1,Micah1:9,PHRASE,is incurable,H605,Minor Prophets,Old Testament,Micah,ASV
