bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Obadiah1:1,PHRASE,The vision,H2377,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,of Obadiah,H5662,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,WORD,Thus,H3541,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,WORD,says,H559,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,the Lord,H136,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,WORD,GOD,H3068,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,concerning Edom,H123,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,We have heard,H8085,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,a report,H8052,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,from the LORD,H3068,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,And an envoy,H6735,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,has been sent,H7971,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,among the nations,H1471,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,"saying, Arise",H6965,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,and let us go,H6965,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,WORD,against,H5921,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:1,PHRASE,her for battle,H4421,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,WORD,Behold,H2009,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,PHRASE,I will make,H5414,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,PHRASE,you small,H6996,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,PHRASE,among the nations,H1471,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,PHRASE,You are greatly,H3966,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:2,WORD,despised,H959,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,The arrogance,H2087,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,of your heart,H3820,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,has deceived,H5378,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,"you, You who live",H7931,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,in the clefts,H2288,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,of the rock,H5553,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,In the loftiness,H4791,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,of your dwelling,H7931,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,WORD,place,H7675,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,Who say,H559,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,in your heart,H3820,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,WORD,Who,H4310,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,will bring,H3381,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,me down,H3381,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:3,PHRASE,to earth,H776,Minor Prophets,Old Testament,Obadiah,ASV
1,Obadiah1:4,WORD,Though,H518,Minor Prophets,Old Testament,Obadiah,ASV
