verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,"Paul,",G3972,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,a servant,G1401,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,of Jesus,G2424,1,Romans 1:1,Epistles,New Testament,Romans,ASV
WORD,"Christ,",G5547,1,Romans 1:1,Epistles,New Testament,Romans,ASV
WORD,called,G2822,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,[to be],,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,"an apostle,",G652,1,Romans 1:1,Epistles,New Testament,Romans,ASV
WORD,separated,G873,1,Romans 1:1,Epistles,New Testament,Romans,ASV
WORD,unto,G1519,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,the gospel,G2098,1,Romans 1:1,Epistles,New Testament,Romans,ASV
PHRASE,"of God,",G2316,1,Romans 1:1,Epistles,New Testament,Romans,ASV
WORD,(Which,G3739,1,Romans 1:2,Epistles,New Testament,Romans,ASV
PHRASE,he had promised afore,G4279,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,by,G1223,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,his,G846,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,prophets,G4396,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,in,G1722,1,Romans 1:2,Epistles,New Testament,Romans,ASV
PHRASE,the holy,G40,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,"scriptures,)",G1124,1,Romans 1:2,Epistles,New Testament,Romans,ASV
WORD,Concerning,G4012,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,his,G846,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,Son,G5207,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,Jesus,G2424,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,Christ,G5547,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,our,G2257,1,Romans 1:3,Epistles,New Testament,Romans,ASV
WORD,"Lord,",G2962,1,Romans 1:3,Epistles,New Testament,Romans,ASV
