verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came to pass,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,in the days,H3117,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,when,H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,the judges,H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,"ruled,",H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,that there was,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,a famine,H7458,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,in the land.,H776,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,And,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,a certain man,H376,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,of Bethlehemjudah,H1035,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,,H1035,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,,H3063,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,went,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,to sojourn,H1481,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,in the country,H7704,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,"of Moab,",H4124,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,"he,",H1931,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,"and his wife,",H802,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,and,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,his,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,two,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,sons.,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,And the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,of the man,H376,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,[was],,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,"Elimelech,",H458,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,and the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,of his wife,H802,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,"Naomi,",H5281,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,and the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,of,H8147,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,his,H1121,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,two,H8147,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,sons,H1121,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,Mahlon,H4248,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,"and Chilion,",H3630,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,Ephrathites,H673,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,of Bethlehemjudah.,H1035,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,,H1035,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,,H3063,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,And they came,H935,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,into the country,H7704,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,"of Moab,",H4124,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
PHRASE,and continued,H1961,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,there.,H8033,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,And,H4191,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,Elimelech,H458,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,Naomi's,H5281,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,husband,H376,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,died;,H4191,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
WORD,and,H7604,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,ASV
