bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Kings1:1,PHRASE,Now King,H4428,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,WORD,David,H1732,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,PHRASE,was old,H2204,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,WORD,advanced,H935,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,PHRASE,in age,H3117,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,PHRASE,and they covered,H3680,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,PHRASE,him with clothes,H899,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,PHRASE,but he could not keep,H2552,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:1,WORD,warm,H2552,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,So his servants,H5650,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,WORD,said,H559,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,"to him, Let them seek",H1245,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,a young,H5291,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,WORD,virgin,H1330,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,for my lord,H113,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,the king,H4428,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,and let her attend,H5975,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,WORD,,H6440,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,the king,H4428,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,and become,H1961,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,his nurse,H5532,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,and let her lie,H7901,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,in your bosom,H2436,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,that my lord,H113,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,the king,H4428,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,PHRASE,may keep,H2552,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:2,WORD,warm,H2552,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,So they searched,H1245,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,for a beautiful,H3303,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,WORD,girl,H5291,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,throughout all,H3605,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,the territory,H1366,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,of Israel,H3478,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
1,1 Kings1:3,PHRASE,and found,H4672,Historical Books (Former Prophets),Old Testament,1 Kings,ESV
