verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now there was,H1961,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,a,H376,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,certain,H259,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,man,H376,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,from,H4480,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Ramathaim-zophim,H7436,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,from the hill country,H2022,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Ephraim,",H669,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,and his name,H8034,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,was,,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Elkanah,H511,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Jeroham,",H3395,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Elihu,",H453,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Tohu,",H8459,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the son,H1121,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Zuph,",H6689,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,an Ephraimite.,H673,1,1 Samuel1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,He had,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,two,H8147,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,wives:,H802,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the name,H8034,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,of one,H259,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,was,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Hannah,H2584,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,and the name,H8034,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,of the other,H8145,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Peninnah;,H6444,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,and,H1961,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,Peninnah had,H6444,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,"children,",H3206,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,but Hannah had,H2584,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,no,H369,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,children.,H3206,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Now,H5927,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,this,H1931,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,man,H376,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,would go up,H5927,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,from his city,H5892,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,yearly,H3117,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,to worship,H7812,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,and to sacrifice,H2076,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,to the LORD,H3068,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,of hosts,H6635,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,in Shiloh.,H7887,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,And,H8033,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the two,H8147,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,sons,H1121,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of Eli,",H5941,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Hophni,H2652,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"and Phinehas,",H6372,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,were,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,priests,H3548,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,to the LORD,H3068,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,there.,H8033,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,When,H1961,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the day,H3117,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,came,H1961,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,that,H2076,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Elkanah,H511,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,"sacrificed,",H2076,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,he would give,H5414,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,portions,H4490,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,to Peninnah,H6444,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,his wife,H802,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,and to all,H3605,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,her sons,H1121,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,and her daughters;,H1323,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,but to Hannah,H2584,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,he would give,H5414,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,a,H259,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,double,H639,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,"portion,",H4490,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,for,H3588,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,he loved,H157,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,"Hannah,",H2584,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,but the LORD,H3068,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,had closed,H5462,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,her womb.,H7358,1,1 Samuel1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"Her rival,",H6869,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"however, would provoke her",H3707,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,bitterly,H3708,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,to,H5668,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"irritate her,",H7481,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,because,H3588,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,the LORD,H3068,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,had closed,H5462,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,her womb.,H7358,1,1 Samuel1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,It happened,H6213,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,year,H8141,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"after year,",H8141,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,as often as,H1767,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,she went up,H5927,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,to the house,H1004,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,"of the LORD,",H3068,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,she would provoke her;,H3707,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,so she wept,H1058,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,and,H3808,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,would,H398,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,not,H3808,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,eat.,H398,1,1 Samuel1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Then,H559,1,1 Samuel1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
WORD,Elkanah,H511,1,1 Samuel1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
PHRASE,her husband,H376,1,1 Samuel1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,ESV
