bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Peter1:1 ,WORD,Simon,G4826,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,Peter,G4074,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,a bond-servant,G1401,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,apostle,G652,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,Christ,G5547,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,To those,G3588,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,who have received,G2975,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,a faith,G4102,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,of the same kind,G2472,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,as ours,G1473,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,by,G1722,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,the righteousness,G1343,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,PHRASE,of our,G1473,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,God,G2316,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,Savior,G4990,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,Jesus,G2424,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:1 ,WORD,Christ,G5547,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:2 ,WORD,Grace,G5485,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:2 ,WORD,peace,G1515,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:2 ,PHRASE,be multiplied,G4129,Epistles,New Testament,2 Peter,ESV
1,2 Peter1:2 ,PHRASE,to you,G4771,Epistles,New Testament,2 Peter,ESV
