verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now these,H428,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
WORD,are,,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,the names,H8034,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,of the sons,H1121,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,of Israel,H3478,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,who came,H935,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,to Egypt,H4714,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
WORD,with,H854,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
WORD,Jacob;,H3290,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,they came,H935,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,each one,H376,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
PHRASE,with his household:,H1004,1,Exodus 1:1,Pentateuch,Old Testament,Exodus,ESV
WORD,"Reuben,",H7205,1,Exodus 1:2,Pentateuch,Old Testament,Exodus,ESV
WORD,"Simeon,",H8095,1,Exodus 1:2,Pentateuch,Old Testament,Exodus,ESV
WORD,Levi,H3878,1,Exodus 1:2,Pentateuch,Old Testament,Exodus,ESV
PHRASE,and Judah;,H3063,1,Exodus 1:2,Pentateuch,Old Testament,Exodus,ESV
WORD,"Issachar,",H3485,1,Exodus 1:3,Pentateuch,Old Testament,Exodus,ESV
WORD,Zebulun,H2074,1,Exodus 1:3,Pentateuch,Old Testament,Exodus,ESV
PHRASE,and Benjamin;,H1144,1,Exodus 1:3,Pentateuch,Old Testament,Exodus,ESV
WORD,Dan,H1835,1,Exodus 1:4,Pentateuch,Old Testament,Exodus,ESV
PHRASE,"and Naphtali,",H5321,1,Exodus 1:4,Pentateuch,Old Testament,Exodus,ESV
WORD,Gad,H1410,1,Exodus 1:4,Pentateuch,Old Testament,Exodus,ESV
PHRASE,and Asher.,H836,1,Exodus 1:4,Pentateuch,Old Testament,Exodus,ESV
WORD,All,H3605,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,the persons,H5315,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,who came from,H3318,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,the loins,H3409,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,of Jacob,H3290,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
WORD,were,H1961,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
WORD,seventy,H7657,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,"in number,",H5315,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,but Joseph,H3130,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
WORD,was,H1961,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
WORD,[already],,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
PHRASE,in Egypt.,H4714,1,Exodus 1:5,Pentateuch,Old Testament,Exodus,ESV
WORD,Joseph,H3130,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
WORD,"died,",H4191,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
PHRASE,and all,H3605,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
PHRASE,his brothers,H251,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
PHRASE,and all,H3605,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
WORD,that,H1931,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
WORD,generation.,H1755,1,Exodus 1:6,Pentateuch,Old Testament,Exodus,ESV
PHRASE,But the sons,H1121,1,Exodus 1:7,Pentateuch,Old Testament,Exodus,ESV
