bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Galatians1:1 ,WORD,Paul,G3972,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,(not,G3756,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,sent from,G575,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,men,G444,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,nor,G3761,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,through the agency,G1223,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,of man,G444,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,but,G235,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,through,G1223,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,Christ,G5547,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,and,G2532,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,God,G2316,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,the Father,G3962,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,who,G3588,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,raised,G1453,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,Him,G846,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,WORD,from,G1537,Epistles,New Testament,Galatians,ESV
1,Galatians1:1 ,PHRASE,the dead),G3498,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,WORD,and,G2532,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,WORD,all,G3956,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,PHRASE,the brethren,G80,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,WORD,who,G3588,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,PHRASE,are with,G4862,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,WORD,me,G1473,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,PHRASE,To the,G3588,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,WORD,churches,G1577,Epistles,New Testament,Galatians,ESV
1,Galatians1:2 ,PHRASE,of Galatia,G1053,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,Grace,G5485,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,PHRASE,to you,G4771,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,and,G2532,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,peace,G1515,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,from,G575,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,God,G2316,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,our,G1473,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,Father,G3962,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,and,G2532,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,PHRASE,the Lord,G2962,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,Galatians,ESV
1,Galatians1:3 ,WORD,Christ,G5547,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,who,G3588,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,gave,G1325,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,Himself,G1438,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,for,G5228,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,our,G1473,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,sins,G266,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,PHRASE,so that,G3704,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,PHRASE,He might rescue,G1807,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,us,G1473,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,from,G1537,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,PHRASE,this present,G1764,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,evil,G4190,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,WORD,age,G165,Epistles,New Testament,Galatians,ESV
1,Galatians1:4 ,PHRASE,according to,G2596,Epistles,New Testament,Galatians,ESV
