bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Lamentations1:1,WORD,How,H351,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,WORD,lonely,H910,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,WORD,sits,H3427,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,the city,H5892,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,That was full,H7227,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,of people,H5971,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,She has become,H1961,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,like a widow,H490,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,WORD,Who,H7227,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,was once great,H7227,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,among the nations,H1471,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,She who was a princess,H8282,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,among the provinces,H4082,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,Has become,H1961,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,PHRASE,a forced,H4522,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:1,WORD,laborer,H4522,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,She weeps,H1058,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,WORD,bitterly,H1058,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,in the night,H3915,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,And her tears,H1832,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,are on her cheeks,H3895,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,She has,H369,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,WORD,none,H369,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,to comfort,H5162,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,her Among,H4480,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,WORD,all,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,her lovers,H157,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,WORD,All,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,her friends,H7453,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,have dealt,H898,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,WORD,treacherously,H898,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,with her; They have become,H1961,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:2,PHRASE,her enemies,H340,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,Judah,H3063,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,has gone,H1540,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,into exile,H1540,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,under,H4480,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,affliction,H6040,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,And under,H4480,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,harsh,H7230,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,servitude,H5656,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,She dwells,H3427,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,among the nations,H1471,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,But she has found,H4672,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,no,H3808,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,rest,H4494,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,WORD,All,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,her pursuers,H7291,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,have overtaken,H5381,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,her In the midst,H996,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:3,PHRASE,of distress,H4712,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,The roads,H1870,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,of Zion,H6726,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,are in mourning,H57,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,WORD,Because,H4480,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,WORD,,H1097,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,WORD,no,H1097,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,one comes,H935,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,to the appointed,H4150,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,WORD,feasts,H4150,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,WORD,All,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,her gates,H8179,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,are desolate,H8074,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,Her priests,H3548,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,are groaning,H584,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,Her virgins,H1330,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,are afflicted,H3013,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,And she herself,H1931,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:4,PHRASE,is bitter,H4843,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,Her adversaries,H6862,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,have become,H1961,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,her masters,H7218,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,Her enemies,H340,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,WORD,prosper,H7951,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,For the LORD,H3068,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,has caused,H3013,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,her grief,H3013,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,WORD,Because,H5921,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,of the multitude,H7230,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,of her transgressions,H6588,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,Her little,H5768,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,WORD,ones,H5768,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,have gone,H1980,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,away As captives,H7628,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,WORD,before,H6440,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:5,PHRASE,the adversary,H6862,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,All,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,her majesty,H1926,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,Has departed,H3318,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,from the daughter,H1323,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,of Zion,H6726,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,Her princes,H8269,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,have become,H1961,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,like deer,H354,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,That have found,H4672,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,no,H3808,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,pasture,H4829,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,And they have fled,H1980,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,without,H3808,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,strength,H3581,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,WORD,Before,H6440,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:6,PHRASE,the pursuer,H7291,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,In the days,H3117,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,of her affliction,H6040,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,and homelessness,H4788,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,Jerusalem,H3389,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,remembers,H2142,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,all,H3605,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,her precious,H4262,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,things,H4262,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,That were from the days,H3117,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,of old,H6924,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,When her people,H5971,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,fell,H5307,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,into the hand,H3027,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,of the adversary,H6862,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,And no,H369,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,one,H369,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,helped,H5826,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,PHRASE,her. The adversaries,H6862,Major Prophets,Old Testament,Lamentations,ESV
1,Lamentations1:7,WORD,saw,H7200,Major Prophets,Old Testament,Lamentations,ESV
