bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Malachi1:1,PHRASE,The oracle,H4853,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,PHRASE,of the word,H1697,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,WORD,to,H413,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,WORD,Israel,H3478,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,WORD,through,H3027,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:1,WORD,Malachi,H4401,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,I have loved,H157,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,"you, says",H559,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,But you say,H559,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,WORD,How,H4100,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,have You loved,H157,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,us? Was not Esau,H6215,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,WORD,Jacob's,H3290,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,WORD,brother,H251,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,WORD,declares,H5002,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,PHRASE,Yet I have loved,H157,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:2,WORD,Jacob,H3290,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,but I have hated,H8130,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,WORD,Esau,H6215,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,and I have made,H7760,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,his mountains,H2022,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,a desolation,H8077,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,and appointed his inheritance,H5159,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,for the jackals,H8565,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:3,PHRASE,of the wilderness,H4057,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,WORD,Though,H3588,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,WORD,Edom,H123,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,WORD,says,H559,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,PHRASE,We have been beaten,H7567,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,WORD,down,H7567,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,PHRASE,but we will return,H7725,Minor Prophets,Old Testament,Malachi,ESV
1,Malachi1:4,PHRASE,and build,H1129,Minor Prophets,Old Testament,Malachi,ESV
