bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Proverbs1:1,PHRASE,The proverbs,H4912,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:1,PHRASE,of Solomon,H8010,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:1,PHRASE,the son,H1121,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:1,PHRASE,of David,H1732,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:1,WORD,king,H4428,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:1,PHRASE,of Israel,H3478,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,PHRASE,To know,H3045,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,WORD,wisdom,H2451,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,PHRASE,and instruction,H4148,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,PHRASE,To discern,H995,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,PHRASE,the sayings,H561,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:2,PHRASE,of understanding,H998,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,PHRASE,To receive,H3947,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,WORD,instruction,H4148,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,PHRASE,in wise behavior,H7919,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,WORD,Righteousness,H6664,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,WORD,justice,H4941,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:3,PHRASE,and equity,H4339,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,PHRASE,To give,H5414,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,WORD,prudence,H6195,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,PHRASE,to the naive,H6612,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,PHRASE,To the youth,H5288,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,WORD,knowledge,H1847,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:4,PHRASE,and discretion,H4209,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,A wise man,H2450,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,will hear,H8085,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,and increase,H3254,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,in learning,H3948,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,And a man of understanding,H995,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,will acquire,H7069,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:5,PHRASE,wise counsel,H8458,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,To understand,H995,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,a proverb,H4912,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,and a figure,H4426,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,The words,H1697,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,of the wise,H2450,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:6,PHRASE,and their riddles,H2420,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,PHRASE,The fear,H3374,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,PHRASE,of the LORD,H3068,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,WORD,is,,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,PHRASE,the beginning,H7225,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,PHRASE,of knowledge,H1847,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,WORD,Fools,H191,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,WORD,despise,H936,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,WORD,wisdom,H2451,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:7,PHRASE,and instruction,H4148,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,WORD,Hear,H8085,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,PHRASE,my son,H1121,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,PHRASE,your father's,H1,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,WORD,instruction,H4148,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,WORD,And,H408,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,WORD,do,H5203,Wisdom Literature,Old Testament,Proverbs,ESV
1,Proverbs1:8,WORD,not,H408,Wisdom Literature,Old Testament,Proverbs,ESV
