bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Revelation1:1 ,PHRASE,The Revelation,G602,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,of Jesus,G2424,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,Christ,G5547,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,which,G3739,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,God,G2316,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,gave,G1325,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,Him,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,to show,G1166,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,to His,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,bond-servants,G1401,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,the things which,G3739,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,must,G1163,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,soon,G1722,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,,G5034,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,take place,G1096,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,He sent,G649,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,and communicated it,G4591,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,by,G1223,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,His,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,angel,G32,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,PHRASE,to His,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,bond-servant,G1401,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:1 ,WORD,John,G2491,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,who,G3739,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,testified,G3140,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,to the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,word,G3056,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,of God,G2316,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,to the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,testimony,G3141,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,of Jesus,G2424,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,WORD,Christ,G5547,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,even to all,G3745,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:2 ,PHRASE,that he saw,G3708,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,Blessed,G3107,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,is he who reads,G314,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,those who,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,hear,G191,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,words,G3056,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,prophecy,G4394,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,heed,G5083,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,the things,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,which are written,G1125,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,in,G1722,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,it,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,WORD,for,G1063,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,the time,G2540,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:3 ,PHRASE,is near,G1451,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,John,G2491,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,to the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,seven,G2033,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,churches,G1577,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,that,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,are in,G1722,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,Asia,G773,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,Grace,G5485,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,to you,G4771,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,peace,G1515,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,from,G575,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,Him who,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,is,G1510,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,who,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,was,G1510,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,who,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,is to come,G2064,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,from,G575,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,seven,G2033,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,Spirits,G4151,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,who,G3739,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,PHRASE,are before,G1799,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,His,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:4 ,WORD,throne,G2362,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,from,G575,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,Jesus,G2424,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,Christ,G5547,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,faithful,G4103,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,witness,G3144,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,firstborn,G4416,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,dead,G3498,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,ruler,G758,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,kings,G935,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,earth,G1093,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,PHRASE,To Him who,G3588,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,loves,G25,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,us,G1473,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,released,G3089,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,us,G1473,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,from,G1537,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,our,G1473,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,sins,G266,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,by,G1722,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,His,G846,Apocalpyse,New Testament,Revelation,ESV
1,Revelation1:5 ,WORD,blood,G129,Apocalpyse,New Testament,Revelation,ESV
