verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came about,H1961,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in the days,H3117,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,when,,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the judges,H8199,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"governed,",H8199,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,that there was,H1961,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,a famine,H7458,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in the land.,H776,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,And,H3212,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,a certain man,H376,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Bethlehem,H1035,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in Judah,H3063,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,went,H3212,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,to sojourn,H1481,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in the land,H7704,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Moab,H4124,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,with his wife,H802,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,and,H8147,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,his,H1121,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,sons.,H1121,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,The name,H8034,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of the man,H376,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,[was],,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"Elimelech,",H458,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and the name,H8034,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,"of his wife,",H802,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Naomi;,H5281,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and the names,H8034,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,of,H8147,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,his,H1121,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,sons,H1121,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,[were],,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Mahlon,H4248,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,"and Chilion,",H3630,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Ephrathites,H673,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Bethlehem,H1035,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in Judah.,H3063,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,Now they entered,H935,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the land,H7704,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Moab,H4124,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and remained,H1961,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,there.,H8033,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Then,H4191,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"Elimelech,",H458,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Naomi’s,H5281,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"husband,",H376,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,died;,H4191,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,and,H7604,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,she,H1931,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,was left,H7604,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,with,H8147,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,her,H1121,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,sons.,H1121,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,They took,H5375,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,for themselves,,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,Moabite women,H4125,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,[as],,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,wives;,H802,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the name,H8034,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of the one,H259,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,was,,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Orpah,H6204,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and the name,H8034,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of the other,H8145,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Ruth.,H7327,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,And they lived,H3427,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,there,H8033,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,about ten,H6235,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,years.,H8141,1,Ruth1:4,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Then,H4191,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,both,H8147,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Mahlon,H4248,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and Chilion,H3630,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,also,H1571,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"died,",H4191,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,and,H7604,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the woman,H802,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,was bereft,H7604,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,of,H8147,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,her,H3206,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,children,H3206,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and her husband.,H376,1,Ruth1:5,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Then,H6965,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,she,H1931,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,arose,H6965,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,with her daughters-in-law,H3618,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,that she might return,H7725,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,from the land,H7704,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,"of Moab,",H4124,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,for,H3588,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,she had heard,H8085,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in the land,H7704,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Moab,H4124,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,that,H3588,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the LORD,H3068,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,had visited,H6485,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,His people,H5971,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in giving,H5414,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,them,,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,food.,H3899,1,Ruth1:6,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,So she departed,H3318,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,from,H4480,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the place,H4725,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,where,H834,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,"she was,",H1961,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,and,H8147,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,her,H3618,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,daughters-in-law,H3618,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,with her;,H5973,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and they went,H3212,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,on the way,H1870,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,to return,H7725,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,to,H413,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the land,H776,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of Judah.,H3063,1,Ruth1:7,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,And,H559,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,Naomi,H5281,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,said,H559,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,to,H8147,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,her,H3618,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,two,H8147,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"daughters-in-law,",H3618,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"“Go,",H3212,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,return,H7725,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,each of you,H802,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,to,H1004,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,her mother’s,H517,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,house.,H1004,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,May,H6213,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the LORD,H3068,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,deal,H6213,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,kindly,H2617,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,with you,H5973,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,as,H834,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,you have dealt,H6213,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,with,H5973,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the dead,H4191,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,and with me.,H5973,1,Ruth1:8,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,“May,H5414,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,the LORD,H3068,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,grant,H5414,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,that you may find,H4672,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"rest,",H4496,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,each,H802,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,in the house,H1004,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,of her husband.”,H376,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
PHRASE,Then she kissed,H5401,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
WORD,"them,",,1,Ruth1:9,Historical Books (Former Prophets),Old Testament,Ruth,ESV
