verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,"Paul,",G3972,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,called,G2822,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,[to be],,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,an apostle,G652,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,of Jesus,G2424,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,Christ,G5547,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,through,G1223,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,the will,G2307,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,"of God,",G2316,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,and,G2532,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,Sosthenes,G4988,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,[our],,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
WORD,"brother,",G80,1,1 Corinthians 1:1,Epistles,New Testament,1 Corinthians,KJV
PHRASE,Unto the,G3588,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,church,G1577,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,of God,G2316,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,which,G3588,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,is,G5607,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,at,G1722,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,"Corinth,",G2882,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,to them that are sanctified,G37,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,in,G1722,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,Christ,G5547,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,"Jesus,",G2424,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,called,G2822,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,[to be],,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,"saints,",G40,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,with,G4862,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,all,G3956,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,that in,G1722,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,every,G3956,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,place,G5117,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,call upon,G1941,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,the,G3588,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,name,G3686,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
PHRASE,of Jesus,G2424,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,Christ,G5547,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,our,G2257,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,"Lord,",G2962,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,both,G5037,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
WORD,theirs,G846,1,1 Corinthians 1:2,Epistles,New Testament,1 Corinthians,KJV
