bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Kings1:1,PHRASE,Now king,H4428,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,David,H1732,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,PHRASE,was old,H2204,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,[and],,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,stricken,H935,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,PHRASE,in years;,H3117,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,PHRASE,and they covered him,H3680,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,PHRASE,"with clothes,",H899,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,but,H3808,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,he,,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,gat,H3179,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,no,H3808,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:1,WORD,heat.,H3179,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:2,WORD,Wherefore,H559,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:2,PHRASE,his servants,H5650,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:2,WORD,said,H559,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:2,PHRASE,"unto him,",,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
1,1 Kings1:2,PHRASE,Let there be sought,H1245,Historical Books (Former Prophets),Old Testament,1 Kings,KJV
