bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Peter1:1 ,WORD,"Peter,",G4074,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,PHRASE,to the strangers,G3927,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,scattered,G1290,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,PHRASE,"throughout Pontus,",G4195,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,"Galatia,",G1053,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,"Cappadocia,",G2587,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,"Asia,",G773,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:1 ,WORD,"Bithynia,",G978,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,Elect,G1588,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,according,G2596,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,to the foreknowledge,G4268,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,of God,G2316,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,"the Father,",G3962,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,through,G1722,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,sanctification,G38,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,"of the Spirit,",G4151,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,unto,G1519,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,obedience,G5218,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,sprinkling,G4473,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,of the blood,G129,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,PHRASE,of Jesus,G2424,Epistles,New Testament,1 Peter,KJV
1,1 Peter1:2 ,WORD,Christ:,G5547,Epistles,New Testament,1 Peter,KJV
