verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now there was,H1961,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,a certain,H259,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,man,H376,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,of,H4480,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"Ramathaimzophim,",H7436,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,,H7436,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of mount,H2022,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"Ephraim,",H669,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and his name,H8034,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,[was],,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"Elkanah,",H511,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of Jeroham,",H3395,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of Elihu,",H453,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of Tohu,",H8459,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the son,H1121,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of Zuph,",H6689,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,an Ephrathite:,H673,1,1 Samuel1Sa 1:1,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,And he had,,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,two,H8147,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,wives;,H802,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of the one,H259,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,[was],,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"Hannah,",H2584,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and the name,H8034,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of the other,H8145,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Peninnah:,H6444,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,and,H1961,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Peninnah,H6444,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,had,H1961,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"children,",H3206,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,but Hannah,H2584,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,had no,H369,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,children.,H3206,1,1 Samuel1Sa 1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,And,H5927,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,this,H1931,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,man,H376,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,went up,H5927,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,out of his city,H5892,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,yearly,H3117,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,,H3117,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,to worship,H7812,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and to sacrifice,H2076,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,unto the LORD,H3068,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of hosts,H6635,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,in Shiloh.,H7887,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,And,H8033,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the two,H8147,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,sons,H1121,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of Eli,",H5941,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Hophni,H2652,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"and Phinehas,",H6372,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the priests,H3548,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of the LORD,",H3068,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,[were] there.,H8033,1,1 Samuel1Sa 1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,And when,H1961,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the time,H3117,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,was,H2076,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,that Elkanah,H511,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"offered,",H2076,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,he gave,H5414,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,to Peninnah,H6444,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"his wife,",H802,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and to all,H3605,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,her sons,H1121,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"and her daughters,",H1323,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,portions:,H4490,1,1 Samuel1Sa 1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,But unto Hannah,H2584,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,he gave,H5414,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,a,H259,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,worthy,H639,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,portion;,H4490,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,for,H3588,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,he loved,H157,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Hannah:,H2584,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,but the LORD,H3068,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,had shut up,H5462,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,her womb.,H7358,1,1 Samuel1Sa 1:5,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,And,H3707,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,her adversary,H6869,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,also provoked,H3707,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"her sore,",H3708,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,for to make,H5668,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"her fret,",H7481,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,because,H3588,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the LORD,H3068,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,had shut,H5462,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,up,H1157,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,her womb.,H7358,1,1 Samuel1Sa 1:6,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,And,H3651,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,[as],,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,he did so,H6213,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,year,H8141,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"by year,",H8141,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,when,H1767,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,she went up,H5927,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,to the house,H1004,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of the LORD,",H3068,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,so,H3651,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,she provoked her;,H3707,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"therefore she wept,",H1058,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and did not,H3808,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,eat.,H398,1,1 Samuel1Sa 1:7,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,Then said,H559,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Elkanah,H511,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,her husband,H376,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"to her,",,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"Hannah,",H2584,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,why,H4100,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,weepest thou?,H1058,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and why,H4100,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,eatest thou,H398,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,not?,H3808,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and why,H4100,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,is,H3415,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,thy heart,H3824,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,grieved?,H3415,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,[am],,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,not,H3808,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,I,H595,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,better,H2896,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,to thee,,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,than ten,H6235,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,sons?,H1121,1,1 Samuel1Sa 1:8,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,So,H6965,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,Hannah,H2584,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,rose up,H6965,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,after,H310,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,they had eaten,H398,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"in Shiloh,",H7887,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and after,H310,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,they had drunk.,H8354,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,Now Eli,H5941,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,the priest,H3548,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,sat,H3427,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,upon,H5921,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,a seat,H3678,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,by,H5921,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,a post,H4201,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of the temple,H1964,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,of the LORD.,H3068,1,1 Samuel1Sa 1:9,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,And she,H1931,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,[was],,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,in bitterness,H4751,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of soul,",H5315,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and prayed,H6419,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,unto,H5921,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"the LORD,",H3068,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,and,H1058,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,wept,H1058,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,sore.,H1058,1,1 Samuel1Sa 1:10,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,And she vowed,H5087,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"a vow,",H5088,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"and said,",H559,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,O LORD,H3068,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of hosts,",H6635,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,if,H518,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,thou wilt,H7200,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,indeed,H7200,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,look,H7200,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,on the affliction,H6040,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"of thine handmaid,",H519,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"and remember me,",H2142,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,and not,H3808,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,forget,H7911,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,"thine handmaid,",H519,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,but wilt give,H5414,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,unto thine handmaid,H519,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
PHRASE,a man,H376,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
WORD,"child,",H2233,1,1 Samuel1Sa 1:11,Historical Books (Former Prophets),Old Testament,1 Samuel,KJV
