bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Thessalonians1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,"Silvanus,",G4610,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,"Timotheus,",G5095,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,unto the,G3588,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,church,G1577,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,of the Thessalonians,G2331,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,[which is],,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,in,G1722,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,God,G2316,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,the Father,G3962,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,[in],,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,the Lord,G2962,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,Christ:,G5547,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,Grace,G5485,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,WORD,[be],,Epistles,New Testament,1 Thessalonians,KJV
1,1 Thessalonians1:1 ,PHRASE,"unto you,",G5213,Epistles,New Testament,1 Thessalonians,KJV
