bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,3 John1:1 ,WORD,The,G3588,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,elder,G4245,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,PHRASE,unto the,G3588,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,wellbeloved,G27,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,"Gaius,",G1050,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,whom,G3739,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,I,G1473,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,love,G25,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,WORD,in,G1722,Epistles,New Testament,3 John,KJV
1,3 John1:1 ,PHRASE,the truth.,G225,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,"Beloved,",G27,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,I wish,G2172,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,above,G4012,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,all things,G3956,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,that thou,G4571,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,mayest prosper,G2137,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,and,G2532,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,"be in health,",G5198,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,PHRASE,even as,G2531,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,thy,G4675,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,soul,G5590,Epistles,New Testament,3 John,KJV
1,3 John1:2 ,WORD,prospereth.,G2137,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,For,G1063,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,I rejoiced,G5463,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,"greatly,",G3029,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,when the brethren,G80,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,came,G2064,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,and,G2532,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,testified,G3140,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,of the,G3588,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,truth,G225,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,"that is in thee,",G4675,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,even as,G2531,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,thou,G4771,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,walkest,G4043,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,WORD,in,G1722,Epistles,New Testament,3 John,KJV
1,3 John1:3 ,PHRASE,the truth.,G225,Epistles,New Testament,3 John,KJV
1,3 John1:4 ,PHRASE,I have,G2192,Epistles,New Testament,3 John,KJV
1,3 John1:4 ,WORD,no,G3756,Epistles,New Testament,3 John,KJV
1,3 John1:4 ,WORD,greater,G3186,Epistles,New Testament,3 John,KJV
