bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Acts1:1 ,WORD,The,G3588,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,former,G3303,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,,G4413,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,treatise,G3056,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,PHRASE,"have I made,",G4160,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,O,G5599,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,"Theophilus,",G2321,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,of,G4012,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,all,G3956,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,that,G3739,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,began,G756,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,both,G5037,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,PHRASE,to do,G4160,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,and,G2532,Epistles,New Testament,Acts,KJV
1,Acts1:1 ,WORD,"teach,",G1321,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,WORD,Until,G891,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,the day,G2250,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,in which,G3739,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,"he was taken up,",G353,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,after that he through,G1223,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,the Holy,G40,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,WORD,Ghost,G4151,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,had given commandments,G1781,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,unto the,G3588,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,WORD,apostles,G652,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,WORD,whom,G3739,Epistles,New Testament,Acts,KJV
1,Acts1:2 ,PHRASE,he had chosen:,G1586,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,To whom,G3739,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,also,G2532,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,he shewed,G3936,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,himself,G1438,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,alive,G2198,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,after,G3326,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,his,G846,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,passion,G3958,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,by,G1722,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,many,G4183,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,"infallible proofs,",G5039,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,being seen,G3700,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,of them,G846,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,,G1223,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,forty,G5062,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,"days,",G2250,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,and,G2532,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,speaking,G3004,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,of the,G3588,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,things pertaining,G4012,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,to the,G3588,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,WORD,kingdom,G932,Epistles,New Testament,Acts,KJV
1,Acts1:3 ,PHRASE,of God:,G2316,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,"And,",G2532,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,PHRASE,being assembled together,G4871,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,with,G846,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,"[them],",,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,commanded,G3853,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,them,G846,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,PHRASE,that they should,G5563,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,not,G3361,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,depart,G5563,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,from,G575,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,"Jerusalem,",G2414,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,but,G235,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,wait,G4037,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,PHRASE,for the,G3588,Epistles,New Testament,Acts,KJV
1,Acts1:4 ,WORD,promise,G1860,Epistles,New Testament,Acts,KJV
