bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ecclesiastes1:1,PHRASE,The words,H1697,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:1,PHRASE,"of the Preacher,",H6953,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:1,PHRASE,the son,H1121,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:1,PHRASE,"of David,",H1732,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:1,WORD,king,H4428,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:1,PHRASE,in Jerusalem.,H3389,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,Vanity,H1892,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,PHRASE,"of vanities,",H1892,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,saith,H559,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,PHRASE,"the Preacher,",H6953,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,vanity,H1892,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,PHRASE,of vanities;,H1892,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,all,H3605,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,[is],,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:2,WORD,vanity.,H1892,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,WORD,What,H4100,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,WORD,profit,H3504,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,PHRASE,hath a man,H120,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,PHRASE,of all,H3605,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,PHRASE,his labour,H5999,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,PHRASE,which he taketh,H5998,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,WORD,under,H8478,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:3,PHRASE,the sun?,H8121,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:4,WORD,[One],,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:4,WORD,generation,H1755,Wisdom Literature,Old Testament,Ecclesiastes,KJV
1,Ecclesiastes1:4,PHRASE,"passeth away,",H1980,Wisdom Literature,Old Testament,Ecclesiastes,KJV
