bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Esther1:1,PHRASE,Now it came to pass,H1961,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,in the days,H3117,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,"of Ahasuerus,",H325,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,(this,H1931,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,[is],,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,Ahasuerus,H325,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,"which reigned,",H4427,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,from India,H1912,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,even unto,H5704,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,"Ethiopia,",H3568,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,[over],,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,an hundred and,H3967,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,seven,H7651,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,PHRASE,and twenty,H6242,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:1,WORD,provinces:),H4082,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,[That],,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,in,H3117,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,those,H1992,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,"days,",H3117,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,when,H3427,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,PHRASE,the king,H4428,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,Ahasuerus,H325,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,sat,H3427,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,on,H5921,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,PHRASE,the throne,H3678,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,PHRASE,"of his kingdom,",H4438,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,which,H834,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,WORD,[was],,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,PHRASE,in Shushan,H7800,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:2,PHRASE,"the palace,",H1002,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,WORD,In,H8141,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,the third,H7969,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,WORD,year,H8141,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,"of his reign,",H4427,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,he made,H6213,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,a feast,H4960,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,unto all,H3605,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,his princes,H8269,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,and his servants;,H5650,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,the power,H2428,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,of Persia,H6539,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,"and Media,",H4074,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,the nobles,H6579,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,and princes,H8269,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,"of the provinces,",H4082,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,WORD,[being],,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:3,PHRASE,before him:,H6440,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,PHRASE,When he shewed,H7200,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,PHRASE,the riches,H6239,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,WORD,of,H3519,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,WORD,his,H4438,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,WORD,glorious,H3519,Historical Books (Former Prophets),Old Testament,Esther,KJV
1,Esther1:4,WORD,kingdom,H4438,Historical Books (Former Prophets),Old Testament,Esther,KJV
