bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ezekiel1:1 ,PHRASE,Now it came to pass,H1961,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,in the thirtieth,H7970,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,"year,",H8141,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,in the fourth,H7243,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,"[month],",,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,in the fifth,H2568,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,[day],,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,"of the month,",H2320,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,as I [was],H589,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,among,H8432,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,the captives,H1473,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,by,H5921,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,the river,H5104,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,"of Chebar,",H3529,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,[that],,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,the heavens,H8064,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,"were opened,",H6605,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,and I saw,H7200,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,WORD,visions,H4759,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:1 ,PHRASE,of God.,H430,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:2 ,PHRASE,In the fifth,H2568,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:2 ,WORD,[day],,Epistles,New Testament,Ezekiel,KJV
1,Ezekiel1:2 ,PHRASE,"of the month,",H2320,Epistles,New Testament,Ezekiel,KJV
