bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Habakkuk1:1,PHRASE,The burden,H4853,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:1,WORD,which,H834,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:1,WORD,Habakkuk,H2265,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:1,PHRASE,the prophet,H5030,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:1,PHRASE,did see.,H2372,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,"O LORD,",H3068,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,how,H5704,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,long,H575,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,"shall I cry,",H7768,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,and,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,thou wilt,H8085,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,not,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,hear!,H8085,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,[even],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,cry out,H2199,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,unto thee,H413,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,[of],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,"violence,",H2555,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,and,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,PHRASE,thou wilt,H3467,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,not,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:2,WORD,save!,H3467,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,Why,H4100,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,dost thou shew me,H7200,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,"iniquity,",H205,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,and,H5999,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,cause [me] to behold,H5027,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,grievance?,H5999,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,for spoiling,H7701,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,and violence,H2555,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,[are],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,before me:,H5048,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,and there are,H1961,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,[that],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,raise up,H5375,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,WORD,strife,H7379,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:3,PHRASE,and contention.,H4066,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,Therefore,H5921,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,,H3651,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,the law,H8451,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,"is slacked,",H6313,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,and,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,judgment,H4941,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,doth,H3318,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,never,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,go forth:,H3318,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,for,H3588,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,the wicked,H7563,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,doth compass about,H3803,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,PHRASE,the righteous;,H6662,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,therefore,H5921,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,,H3651,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,wrong,H6127,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,judgment,H4941,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:4,WORD,proceedeth.,H3318,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,Behold ye,H7200,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,"among the heathen,",H1471,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,"and regard,",H5027,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,and wonder marvellously:,H8539,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,,H8539,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,for,H3588,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,[I],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,will work,H6466,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,a work,H6467,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,"in your days,",H3117,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,[which],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,ye will,H539,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,not,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,"believe,",H539,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,though,H3588,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,PHRASE,it be told,H5608,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:5,WORD,[you].,,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,"For,",H3588,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,"lo, I",H2005,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,raise up,H6965,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,"the Chaldeans,",H3778,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,[that],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,bitter,H4751,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,and hasty,H4116,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,"nation,",H1471,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,which shall march,H1980,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,through the breadth,H4800,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,"of the land,",H776,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,to possess,H3423,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,the dwellingplaces,H4908,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,PHRASE,[that are],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,not,H3808,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:6,WORD,theirs.,,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,WORD,They,H1931,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,WORD,[are],,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,WORD,terrible,H366,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,PHRASE,and dreadful:,H3372,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,PHRASE,their judgment,H4941,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,PHRASE,and their dignity,H7613,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,PHRASE,shall proceed,H3318,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:7,PHRASE,of themselves.,H4480,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,PHRASE,Their horses,H5483,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,PHRASE,also are swifter,H7043,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,PHRASE,"than the leopards,",H5246,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,PHRASE,and are more fierce,H2300,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,WORD,than,H2061,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,PHRASE,the evening,H6153,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,WORD,wolves:,H2061,Minor Prophets,Old Testament,Habakkuk,KJV
1,Habakkuk1:8,WORD,and,H6335,Minor Prophets,Old Testament,Habakkuk,KJV
