bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Haggai1:1,PHRASE,In the,H8141,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,second,H8147,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,year,H8141,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,of Darius,H1867,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,"the king,",H4428,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,in,H2320,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the sixth,H8345,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,"month,",H2320,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,in the,H3117,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,first,H259,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,day,H3117,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,"of the month,",H2320,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,came,H1961,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the word,H1697,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,by,H3027,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,Haggai,H2292,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the prophet,H5030,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,unto,H413,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,Zerubbabel,H2216,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,"of Shealtiel,",H7597,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,governor,H6346,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,"of Judah,",H3063,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,and to,H413,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,Joshua,H3091,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,"of Josedech,",H3087,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,PHRASE,the high,H1419,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,"priest,",H3548,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:1,WORD,"saying,",H559,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:2,WORD,Thus,H3541,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:2,WORD,speaketh,H559,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:2,PHRASE,"of hosts,",H6635,Minor Prophets,Old Testament,Haggai,KJV
1,Haggai1:2,WORD,"saying,",H559,Minor Prophets,Old Testament,Haggai,KJV
