bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Isaiah1:1,PHRASE,The vision,H2377,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,of Isaiah,H3470,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,the son,H1121,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,"of Amoz,",H531,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,which,H834,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,he saw,H2372,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,concerning,H5921,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,Judah,H3063,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,and Jerusalem,H3389,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,in the days,H3117,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,"of Uzziah,",H5818,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,"Jotham,",H3147,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,"Ahaz,",H271,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,[and],,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,"Hezekiah,",H2396,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,WORD,kings,H4428,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:1,PHRASE,of Judah.,H3063,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,WORD,"Hear,",H8085,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,"O heavens,",H8064,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,"and give ear,",H238,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,O earth:,H776,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,WORD,for,H3588,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,"hath spoken,",H1696,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,I have nourished,H1431,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,and brought up,H7311,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,WORD,"children,",H1121,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,and they,H1992,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,have rebelled,H6586,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:2,PHRASE,against me.,,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,PHRASE,The ox,H7794,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,knoweth,H3045,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,PHRASE,"his owner,",H7069,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,PHRASE,and the ass,H2543,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,PHRASE,his master's,H1167,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,crib:,H18,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,[but],,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,Israel,H3478,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,doth,H3045,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,not,H3808,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,"know,",H3045,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,PHRASE,my people,H5971,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,doth,H995,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,not,H3808,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:3,WORD,consider.,H995,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,Ah,H1945,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,sinful,H2398,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,"nation,",H1471,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,a people,H5971,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,laden,H3515,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,"with iniquity,",H5771,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,a seed,H2233,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,"of evildoers,",H7489,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,children,H1121,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,that are corrupters:,H7843,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,they have forsaken,H5800,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,WORD,,H853,Major Prophets,Old Testament,Isaiah,KJV
1,Isaiah1:4,PHRASE,"the LORD,",H3068,Major Prophets,Old Testament,Isaiah,KJV
