bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Job1:1,PHRASE,There was,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,a man,H376,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,in the land,H776,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,"of Uz,",H5780,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,whose name,H8034,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,[was],,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,Job;,H347,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,and,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,that,H1931,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,man,H376,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,was,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,perfect,H8535,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,"and upright,",H3477,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,and one that feared,H3373,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,"God,",H430,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,PHRASE,and eschewed,H5493,Wisdom Literature,Old Testament,Job,KJV
1,Job1:1,WORD,evil.,H7451,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,PHRASE,And there were born,H3205,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,PHRASE,unto him,,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,WORD,seven,H7651,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,WORD,sons,H1121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,PHRASE,and three,H7969,Wisdom Literature,Old Testament,Job,KJV
1,Job1:2,WORD,daughters.,H1323,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,His substance,H4735,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,also was,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,seven,H7651,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,thousand,H505,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,"sheep,",H6629,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,and three,H7969,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,thousand,H505,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,"camels,",H1581,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,and five,H2568,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,hundred,H3967,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,yoke,H6776,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,"of oxen,",H1241,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,and five,H2568,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,hundred,H3967,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,"she asses,",H860,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,and a,H5657,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,very,H3966,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,great,H7227,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,household;,H5657,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,so that,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,this,H1931,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,man,H376,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,WORD,was,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,the greatest,H1419,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,of all,H3605,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,the men,H1121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:3,PHRASE,of the east.,H6924,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,And,H1980,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,his sons,H1121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,went,H1980,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,,H6213,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,and feasted,H4960,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,[in their],,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,"houses,",H1004,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,every one,H376,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,his day;,H3117,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,and sent,H7971,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,and called,H7121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,for,H7969,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,their,H269,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,three,H7969,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,WORD,sisters,H269,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,to eat,H398,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,and to drink,H8354,Wisdom Literature,Old Testament,Job,KJV
1,Job1:4,PHRASE,with them.,H5973,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,"And it was so,",H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,when,H3588,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,the days,H3117,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,of [their] feasting,H4960,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,"were gone about,",H5362,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,that,H7971,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,Job,H347,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,sent,H7971,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,"and sanctified them,",H6942,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,and rose up early,H7925,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,"in the morning,",H1242,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,and offered,H5927,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,burnt offerings,H5930,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,[according],,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,to the number,H4557,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,of them all:,H3605,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,for,H3588,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,Job,H347,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,"said,",H559,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,It may be,H194,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,that,H2398,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,my sons,H1121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,"have sinned,",H2398,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,and cursed,H1288,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,God,H430,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,PHRASE,in their hearts.,H3824,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,Thus,H3602,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,did,H6213,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,Job,H347,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,,H3605,Wisdom Literature,Old Testament,Job,KJV
1,Job1:5,WORD,continually.,H3117,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,Now there was,H1961,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,a day,H3117,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,when,H935,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,the sons,H1121,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,of God,H430,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,came,H935,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,to present themselves,H3320,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,before,H5921,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,PHRASE,"the LORD,",H3068,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,and,H935,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,Satan,H7854,Wisdom Literature,Old Testament,Job,KJV
1,Job1:6,WORD,came,H935,Wisdom Literature,Old Testament,Job,KJV
