bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joshua1:1,WORD,Now,H1961,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,after,H310,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,of Moses,H4872,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,the servant,H5650,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,of the LORD,H3068,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,"it came to pass,",H1961,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,that,H559,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,the LORD,H3068,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,spake,H559,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,unto,H413,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,Joshua,H3091,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,PHRASE,"of Nun,",H5126,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,Moses',H4872,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,"minister,",H8334,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:1,WORD,"saying,",H559,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,Moses,H4872,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,PHRASE,my servant,H5650,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,PHRASE,is dead;,H4191,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,PHRASE,now therefore,H6258,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,"arise,",H6965,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,PHRASE,go over,H5674,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,this,H2088,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,"Jordan,",H3383,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,"thou,",H859,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,PHRASE,and all,H3605,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,this,H2088,Historical Books (Former Prophets),Old Testament,Joshua,KJV
1,Joshua1:2,WORD,"people,",H5971,Historical Books (Former Prophets),Old Testament,Joshua,KJV
