bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Judges1:1,WORD,Now,H1961,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,after,H310,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,of Joshua,H3091,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,"it came to pass,",H1961,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,that,H7592,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,the children,H1121,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,of Israel,H3478,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,asked,H7592,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,"the LORD,",H3068,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,"saying,",H559,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,Who,H4310,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,shall go up,H5927,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,for us,,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,against,H413,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,the Canaanites,H3669,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,WORD,"first,",H8462,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,to fight,H3898,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:1,PHRASE,against them?,,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,WORD,And,H559,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,PHRASE,the LORD,H3068,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,WORD,"said,",H559,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,WORD,Judah,H3063,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,PHRASE,shall go up:,H5927,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,WORD,"behold,",H2009,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,PHRASE,I have delivered,H5414,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,PHRASE,the land,H776,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:2,PHRASE,into his hand.,H3027,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,And,H559,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,Judah,H3063,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,said,H559,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,unto Simeon,H8095,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,"his brother,",H251,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,Come up,H5927,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,with me,H854,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,"into my lot,",H1486,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,that we may fight,H3898,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,against the Canaanites;,H3669,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,and,H1980,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,I,H589,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,likewise,H1571,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,will go,H1980,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,with thee,H854,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,into thy lot.,H1486,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,So,H3212,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,Simeon,H8095,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,WORD,went,H3212,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:3,PHRASE,with him.,H854,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,And,H5927,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,Judah,H3063,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,went up;,H5927,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,and,H5414,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,the LORD,H3068,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,delivered,H5414,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,the Canaanites,H3669,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,and the Perizzites,H6522,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,into their hand:,H3027,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,and they slew of them,H5221,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,PHRASE,in Bezek,H966,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,ten,H6235,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,thousand,H505,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:4,WORD,men.,H376,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,And they found,H4672,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,WORD,Adonibezek,H137,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,WORD,,H137,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,in Bezek:,H966,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,and they fought,H3898,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,"against him,",,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,and they slew,H5221,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,the Canaanites,H3669,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,WORD,and,H853,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:5,PHRASE,the Perizzites.,H6522,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:6,WORD,But,H5127,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:6,WORD,Adonibezek,H137,Historical Books (Former Prophets),Old Testament,Judges,KJV
1,Judges1:6,WORD,,H137,Historical Books (Former Prophets),Old Testament,Judges,KJV
