verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,In,H3117,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,those,H1992,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,days,H3117,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,[there was],,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,no,H369,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,king,H4428,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,in Israel:,H3478,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,and in,H3117,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,those,H1992,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,days,H3117,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,the tribe,H7626,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,of the Danites,H1839,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,sought,H1245,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,them,,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,an inheritance,H5159,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,to dwell in;,H3427,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,for,H3588,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,unto,H5704,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,that,H1931,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,day,H3117,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,[all their],,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,inheritance,H5159,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,had,H5307,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,not,H3808,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,fallen,H5307,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,unto them,,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
WORD,among,H8432,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
PHRASE,the tribes,H7626,18,Judges18:1,Historical Books (Former Prophets),Old Testament,Judges,KJV
