bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Lamentations1:1,WORD,How,H349,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,doth,H3427,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,the city,H5892,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,sit,H3427,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,"solitary,",H910,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,[that was],,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,full,H7227,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,of people!,H5971,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,[how],,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,is she become,H1961,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,as a widow!,H490,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,she [that was] great,H7227,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,"among the nations,",H1471,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,[and],,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,princess,H8282,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,"among the provinces,",H4082,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,[how],,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,PHRASE,is she become,H1961,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:1,WORD,tributary!,H4522,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,She weepeth,H1058,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,sore,H1058,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,"in the night,",H3915,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,and her tears,H1832,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,[are],,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,on,H5921,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,her cheeks:,H3895,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,among all,H3605,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,her lovers,H157,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,she hath,,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,none,H369,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,to comfort,H5162,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,[her]:,,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,all,H3605,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,her friends,H7453,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,have dealt treacherously,H898,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,"with her,",,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,PHRASE,they are become,H1961,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,her,,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:2,WORD,enemies.,H341,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,Judah,H3063,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,is gone into captivity,H1540,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,"because of affliction,",H6040,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,and because of great,H7230,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,servitude:,H5656,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,she,H1931,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,dwelleth,H3427,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,"among the heathen,",H1471,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,she findeth,H4672,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,no,H3808,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,rest:,H4494,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,all,H3605,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,her persecutors,H7291,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,overtook her,H5381,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,WORD,between,H996,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:3,PHRASE,the straits.,H4712,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:4,PHRASE,The ways,H1870,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:4,PHRASE,of Zion,H6726,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:4,PHRASE,"do mourn,",H57,Major Prophets,Old Testament,Lamentations,KJV
1,Lamentations1:4,PHRASE,because none,H1097,Major Prophets,Old Testament,Lamentations,KJV
