bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Malachi1:1,PHRASE,The burden,H4853,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,PHRASE,of the word,H1697,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,WORD,to,H413,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,WORD,Israel,H3478,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,WORD,by,H3027,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:1,WORD,Malachi.,H4401,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,I have loved,H157,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,"you,",H853,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,saith,H559,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,the LORD.,H3068,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,"Yet ye say,",H559,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,Wherein,H4100,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,hast thou loved us?,H157,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,[Was],,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,not,H3808,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,Esau,H6215,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,Jacob's,H3290,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,brother?,H251,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,saith,H5002,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,the LORD:,H3068,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,PHRASE,yet I loved,H157,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:2,WORD,"Jacob,",H3290,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,WORD,And,H853,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,I hated,H8130,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,WORD,"Esau,",H6215,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,and laid,H7760,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,his mountains,H2022,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,WORD,and,H853,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,his heritage,H5159,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,WORD,waste,H8077,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,for the dragons,H8568,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:3,PHRASE,of the wilderness.,H4057,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,WORD,Whereas,H3588,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,WORD,Edom,H123,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,WORD,"saith,",H559,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,PHRASE,"We are impoverished,",H7567,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,PHRASE,but we will return,H7725,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,PHRASE,and build,H1129,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,PHRASE,the desolate places;,H2723,Minor Prophets,Old Testament,Malachi,KJV
1,Malachi1:4,WORD,thus,H3541,Minor Prophets,Old Testament,Malachi,KJV
