bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Mark1:1 ,PHRASE,The beginning,G746,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,PHRASE,of the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,WORD,gospel,G2098,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,PHRASE,of Jesus,G2424,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,WORD,"Christ,",G5547,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,PHRASE,the Son,G5207,Gospels,New Testament,Mark,KJV
1,Mark1:1 ,PHRASE,of God;,G2316,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,As,G5613,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,PHRASE,it is written,G1125,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,in,G1722,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,"prophets,",G4396,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,"Behold,",G2400,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,I,G1473,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,send,G649,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,my,G3450,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,messenger,G32,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,before,G4253,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,thy,G4675,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,"face,",G4383,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,which,G3739,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,PHRASE,shall prepare,G2680,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,thy,G4675,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,way,G3598,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,before,G1715,Gospels,New Testament,Mark,KJV
1,Mark1:2 ,WORD,thee.,G4675,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,PHRASE,The voice,G5456,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,PHRASE,of one crying,G994,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,in,G1722,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,"wilderness,",G2048,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,PHRASE,Prepare ye,G2090,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,way,G3598,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,PHRASE,"of the Lord,",G2962,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,make,G4160,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,his,G846,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,paths,G5147,Gospels,New Testament,Mark,KJV
1,Mark1:3 ,WORD,straight.,G2117,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,John,G2491,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,did,G1096,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,baptize,G907,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,in,G1722,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,"wilderness,",G2048,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,and,G2532,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,preach,G2784,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,PHRASE,the baptism,G908,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,PHRASE,of repentance,G3341,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,WORD,for,G1519,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,PHRASE,the remission,G859,Gospels,New Testament,Mark,KJV
1,Mark1:4 ,PHRASE,of sins.,G266,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,And,G2532,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,PHRASE,there went out,G1607,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,unto,G4314,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,him,G846,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,all,G3956,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,land,G5561,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,PHRASE,"of Judaea,",G2449,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,and,G2532,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,they,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,PHRASE,"of Jerusalem,",G2415,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,and,G2532,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,were,G907,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,all,G3956,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,baptized,G907,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,of,G5259,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,him,G846,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,in,G1722,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,the,G3588,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,river,G4215,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,PHRASE,"of Jordan,",G2446,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,confessing,G1843,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,their,G846,Gospels,New Testament,Mark,KJV
1,Mark1:5 ,WORD,sins.,G266,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,WORD,And,G1161,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,WORD,John,G2491,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,WORD,was,G2258,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,WORD,clothed,G1746,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,PHRASE,with camel's,G2574,Gospels,New Testament,Mark,KJV
1,Mark1:6 ,WORD,"hair,",G2359,Gospels,New Testament,Mark,KJV
