bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nahum1:1,PHRASE,The burden,H4853,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:1,PHRASE,of Nineveh.,H5210,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:1,PHRASE,The book,H5612,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:1,PHRASE,of the vision,H2377,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:1,PHRASE,of Nahum,H5151,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:1,PHRASE,the Elkoshite.,H512,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,God,H410,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,[is],,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,"jealous,",H7072,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,and,H5358,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,revengeth;,H5358,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,"revengeth,",H5358,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,and,H1167,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,[is],,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,furious;,H2534,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,will take vengeance,H5358,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,"on his adversaries,",H6862,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,and,H5201,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,he,H1931,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,reserveth,H5201,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,WORD,[wrath],,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:2,PHRASE,for his enemies.,H341,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,[is],,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,slow,H750,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,"to anger,",H639,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,and great,H1419,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,"in power,",H3581,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,and,H5352,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,will,H5352,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,not,H3808,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,at all,H5352,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,acquit,H5352,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,[the wicked]:,,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,hath his way,H1870,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,in the whirlwind,H5492,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,"and in the storm,",H8183,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,and the clouds,H6051,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,WORD,[are],,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,the dust,H80,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:3,PHRASE,of his feet.,H7272,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,He rebuketh,H1605,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,"the sea,",H3220,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,"and maketh it dry,",H3001,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,WORD,and,H3605,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,drieth up,H2717,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,WORD,all,H3605,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,the rivers:,H5104,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,WORD,Bashan,H1316,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,WORD,"languisheth,",H535,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,"and Carmel,",H3760,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,and the flower,H6525,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,PHRASE,of Lebanon,H3844,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:4,WORD,languisheth.,H535,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,PHRASE,The mountains,H2022,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,WORD,quake,H7493,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,PHRASE,"at him,",H4480,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,PHRASE,and the hills,H1389,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,WORD,"melt,",H4127,Minor Prophets,Old Testament,Nahum,KJV
1,Nahum1:5,WORD,and,H5375,Minor Prophets,Old Testament,Nahum,KJV
