bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nehemiah1:1,PHRASE,The words,H1697,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,of Nehemiah,H5166,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,of Hachaliah.,H2446,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,And it came to pass,H1961,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,in the month,H2320,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,WORD,"Chisleu,",H3691,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,in the twentieth,H6242,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,WORD,"year,",H8141,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,as I,H589,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,WORD,was,H1961,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,in Shushan,H7800,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:1,PHRASE,"the palace,",H1002,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,That,H935,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,"Hanani,",H2607,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,one,H259,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,"of my brethren,",H251,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,"came,",H935,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,he,H1931,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,and,H376,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,[certain],,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,men,H376,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,of Judah;,H3063,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,and I asked them,H7592,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,concerning,H5921,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,the Jews,H3064,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,"that had escaped,",H6413,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,which,H834,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,were left,H7604,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,of,H4480,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,"the captivity,",H7628,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,PHRASE,and concerning,H5921,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:2,WORD,Jerusalem.,H3389,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,And they said,H559,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,"unto me, The remnant",H7604,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,that are left,H7604,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,of the captivity,H7628,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,there in the province,H4082,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,WORD,[are],,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,in great,H1419,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,WORD,affliction,H7451,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
1,Nehemiah1:3,PHRASE,and reproach:,H2781,Historical Books (Former Prophets),Old Testament,Nehemiah,KJV
