verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
PHRASE,Now it came to pass,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,in the days,H3117,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,when,H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,the judges,H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,"ruled,",H8199,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,that there was,H1961,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,a famine,H7458,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,in the land.,H776,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,And,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,a certain man,H376,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of Bethlehemjudah,H1035,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,,H1035,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,,H3063,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,went,H3212,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,to sojourn,H1481,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,in the country,H7704,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,"of Moab,",H4124,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,"he,",H1931,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,"and his wife,",H802,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,and,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,his,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,two,H8147,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,sons.,H1121,1,RuthRth 1:1,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,And the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of the man,H376,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,[was],,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,"Elimelech,",H458,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of his wife,H802,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,"Naomi,",H5281,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and the name,H8034,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,of,H8147,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,his,H1121,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,two,H8147,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,sons,H1121,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,Mahlon,H4248,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,"and Chilion,",H3630,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,Ephrathites,H673,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of Bethlehemjudah.,H1035,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,,H1035,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,,H3063,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,And they came,H935,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,into the country,H7704,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,"of Moab,",H4124,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and continued,H1961,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,there.,H8033,1,RuthRth 1:2,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,And,H4191,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,Elimelech,H458,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,Naomi's,H5281,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,husband,H376,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,died;,H4191,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,and,H7604,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,she,H1931,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,"was left,",H7604,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and her two,H8147,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,sons.,H1121,1,RuthRth 1:3,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,And they took,H5375,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,them,,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,wives,H802,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of the women of Moab;,H4125,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,the name,H8034,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of the one,H259,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,[was],,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,"Orpah,",H6204,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and the name,H8034,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,of the other,H8145,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,Ruth:,H7327,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,and they dwelled,H3427,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,there,H8033,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
PHRASE,about ten,H6235,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,years.,H8141,1,RuthRth 1:4,Historical Books (Former Prophets),Old Testament,Ruth,KJV
WORD,And,H4191,1,RuthRth 1:5,Historical Books (Former Prophets),Old Testament,Ruth,KJV
