bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Song of Solomon 1:1,PHRASE,The song,H7892,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:1,PHRASE,"of songs,",H7892,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:1,WORD,which,H834,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:1,WORD,[is],,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:1,WORD,Solomon's.,H8010,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,PHRASE,Let him kiss me,H5401,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,PHRASE,with the kisses,H5390,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,PHRASE,of his mouth:,H6310,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,WORD,for,H3588,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,PHRASE,thy love,H1730,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,WORD,[is],,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,WORD,better,H2896,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:2,PHRASE,than wine.,H3196,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,Because of the savour,H7381,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,of thy,H8081,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,good,H2896,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,ointments,H8081,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,thy name,H8034,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,[is as],,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,ointment,H8081,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,"poured forth,",H7324,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,therefore,H5921,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,,H3651,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,WORD,do,H157,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,the virgins,H5959,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:3,PHRASE,love thee.,H157,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,"Draw me,",H4900,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,we will run,H7323,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,after thee:,H310,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,the king,H4428,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,hath brought me,H935,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,into his chambers:,H2315,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,we will be glad,H1523,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,and rejoice,H8055,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,"in thee,",,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,we will remember,H2142,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,thy love,H1730,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,more than wine:,H3196,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,the upright,H4339,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:4,PHRASE,love thee.,H157,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:5,WORD,I,H589,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:5,WORD,[am],,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:5,WORD,"black,",H7838,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:5,PHRASE,"but comely,",H5000,Epistles,New Testament,Song of Solomon 1,KJV
1,Song of Solomon 1:5,PHRASE,O ye daughters,H1323,Epistles,New Testament,Song of Solomon 1,KJV
