bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Titus1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,a servant,G1401,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,"of God,",G2316,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,and,G1161,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,according to,G2596,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,the faith,G4102,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,of God's,G2316,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,"elect,",G1588,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,and,G2532,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,the acknowledging,G1922,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,of the truth,G225,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,which,G3588,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,PHRASE,is after,G2596,Epistles,New Testament,Titus,KJV
1,Titus1:1 ,WORD,godliness;,G2150,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,In,G1909,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,hope,G1680,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,PHRASE,of eternal,G166,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,"life,",G2222,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,which,G3739,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,"God,",G2316,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,PHRASE,"that cannot lie,",G893,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,promised,G1861,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,before,G4253,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,PHRASE,the world,G166,Epistles,New Testament,Titus,KJV
1,Titus1:2 ,WORD,began;,G5550,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,But,G1161,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,hath,G5319,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,in due,G2398,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,times,G2540,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,manifested,G5319,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,his,G846,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,word,G3056,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,through,G1722,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,"preaching,",G2782,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,which,G3739,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,is committed,G4100,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,unto me,G1473,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,according to,G2596,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,the commandment,G2003,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,PHRASE,of God,G2316,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,our,G2257,Epistles,New Testament,Titus,KJV
1,Titus1:3 ,WORD,Saviour;,G4990,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,PHRASE,"To Titus,",G5103,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,[mine],,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,own,G1103,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,son,G5043,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,after,G2596,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,PHRASE,the common,G2839,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,faith:,G4102,Epistles,New Testament,Titus,KJV
1,Titus1:4 ,WORD,"Grace,",G5485,Epistles,New Testament,Titus,KJV
