bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zephaniah1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,WORD,which,H834,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,WORD,unto,H413,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,WORD,Zephaniah,H6846,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,"of Cushi,",H3570,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,"of Gedaliah,",H1436,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,"of Amariah,",H568,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,"of Hizkiah,",H2396,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,of Josiah,H2977,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,"of Amon,",H526,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,WORD,king,H4428,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:1,PHRASE,of Judah.,H3063,Minor Prophets,Old Testament,Zephaniah,KJV
1,Zephaniah1:2,PHRASE,I will,H5486,Minor Prophets,Old Testament,Zephaniah,KJV
