bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Kings1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G935,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G1138,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G4245,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G4260,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G2250,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G4016,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G2440,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G3756,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:1,WORD,,G2328,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2036,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3816,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2212,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2962,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G1473,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G935,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3933,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3936,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G935,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G1510,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2282,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2837,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3326,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2328,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
1,1 Kings1:2,WORD,,G2962,Historical Books (Former Prophets),Old Testament,1 Kings,LXX
