verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,,G2532,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3778,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1417,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1135,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3686,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1520,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G452,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3686,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1208,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1510,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3813,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G452,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3756,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1510,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3813,1,1 Samuel1:2,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G305,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G444,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1537,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2250,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1519,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2250,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1537,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G4172,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G846,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1537,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G4352,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2380,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2962,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2316,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G4519,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1519,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1563,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2242,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1417,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G5207,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G846,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2409,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G3588,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2962,1,1 Samuel1:3,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G1096,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2250,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2532,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
WORD,,G2380,1,1 Samuel1:4,Historical Books (Former Prophets),Old Testament,1 Samuel,LXX
