bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Chronicles1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G1765,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G5207,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G1138,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G1909,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G932,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G2962,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G2316,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G3326,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G3170,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G1519,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:1,WORD,,G5311,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2036,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G4314,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3956,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2474,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G5506,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G1543,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2923,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3956,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G758,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G1726,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G2474,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G758,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
1,2 Chronicles1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,LXX
