bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Corinthians1:1 ,WORD,Paul,G3972,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,by,G1223,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,the will,G2307,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,of God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,Timothy,G5095,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,our brother,G80,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,To the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,church,G1577,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,PHRASE,of God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,which,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,is,G1510,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,at,G1722,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,Corinth,G2882,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,with,G4862,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,all,G3956,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,saints,G40,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,who,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,are,G1510,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,throughout,G3650,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,,G1722,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:1 ,WORD,Achaia,G882,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,Grace,G5485,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,PHRASE,to you,G4771,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,peace,G1515,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,from,G575,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,our,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,Father,G3962,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,PHRASE,the Lord,G2962,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,Jesus,G2424,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:2 ,WORD,Christ,G5547,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,PHRASE,Blessed be,G2128,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,Father,G3962,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,PHRASE,of our,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,Lord,G2962,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,Christ,G5547,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,Father,G3962,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,PHRASE,of mercies,G3628,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,PHRASE,of all,G3956,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:3 ,WORD,comfort,G3874,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,who,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,comforts,G3870,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,us,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,in,G1909,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,all,G3956,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,our,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,affliction,G2347,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,so that,G1519,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,we,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,will be able,G1410,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,to comfort,G3870,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,those,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,who are in,G1722,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,any,G3956,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,affliction,G2347,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,with,G1223,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,comfort,G3874,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,with which,G3739,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,we ourselves,G846,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,PHRASE,are comforted,G3870,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,by,G5259,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:4 ,WORD,God,G2316,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,For,G3754,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,PHRASE,just as,G2531,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,sufferings,G3804,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,PHRASE,of Christ,G5547,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,are,G1519,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,ours,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,PHRASE,in abundance,G4052,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,so,G3779,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,also,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,our,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,comfort,G3874,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,PHRASE,is abundant,G4052,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,through,G1223,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:5 ,WORD,Christ,G5547,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,But,G1161,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,if,G1535,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,we are afflicted,G2346,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,it is for,G5228,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,your,G4771,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,comfort,G3874,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,salvation,G4991,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,or if,G1535,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,we are comforted,G3870,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,it is for,G5228,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,your,G4771,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,comfort,G3874,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,which,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,is effective,G1754,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,in,G1722,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,the patient enduring,G5281,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,PHRASE,of the,G3588,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,same,G846,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,sufferings,G3804,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,which,G3739,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,we,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,also,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:6 ,WORD,suffer,G3958,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,and,G2532,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,our,G1473,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,hope,G1680,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,for,G5228,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,you,G4771,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,PHRASE,is firmly grounded,G949,Epistles,New Testament,2 Corinthians,LXX
1,2 Corinthians1:7 ,WORD,knowing,G1492,Epistles,New Testament,2 Corinthians,LXX
