bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ecclesiastes1:1,WORD,,G4487,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G5207,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G1138,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G935,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G2474,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G1722,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:1,WORD,,G2419,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3153,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3153,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G2036,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3588,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3153,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3153,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3588,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3956,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:2,WORD,,G3153,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G5101,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G4050,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G3588,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G444,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G1722,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G3956,Wisdom Literature,Old Testament,Ecclesiastes,LXX
1,Ecclesiastes1:3,WORD,,G3449,Wisdom Literature,Old Testament,Ecclesiastes,LXX
