bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Habakkuk1:1,WORD,,G3588,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,G3739,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,G3708,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,G3588,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:1,WORD,,G4396,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G2193,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G5101,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G2962,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G2896,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G3756,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G3361,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G1522,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G994,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G4314,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G4771,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G91,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G3756,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:2,WORD,,G4982,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2443,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G5101,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1473,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1166,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2873,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G4192,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1914,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G5004,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G763,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1537,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1727,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1473,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G1096,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2920,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G3588,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2923,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:3,WORD,,G2983,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G1223,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3778,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3551,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G2532,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3756,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G1519,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G5056,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G2917,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3754,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3588,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G765,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G2616,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G3588,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G1342,Minor Prophets,Old Testament,Habakkuk,LXX
1,Habakkuk1:4,WORD,,G1752,Minor Prophets,Old Testament,Habakkuk,LXX
