verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,,G3056,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2962,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3739,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1096,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4314,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5617,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1722,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2250,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3604,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2488,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G881,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1478,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G935,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2448,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1722,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2250,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5207,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G935,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2474,1,Hosea 1:1,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G746,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3056,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2962,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4314,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5617,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2036,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2962,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4314,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5617,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2983,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4572,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1135,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4202,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5043,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4202,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1360,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1608,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1608,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1093,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G575,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3693,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2962,1,Hosea 1:2,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4198,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2983,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2364,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4815,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5088,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G846,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G5207,1,Hosea 1:3,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2036,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2962,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G4314,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G846,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2564,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3686,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G846,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1360,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2089,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3398,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1556,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G129,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1909,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3588,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3624,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2447,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2664,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G932,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G3624,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2474,1,Hosea 1:4,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G2532,1,Hosea 1:5,Minor Prophets,Old Testament,Hosea,LXX
WORD,,G1510,1,Hosea 1:5,Minor Prophets,Old Testament,Hosea,LXX
