bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jeremiah1:1,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G4487,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G2316,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3739,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1096,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1909,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G2408,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1537,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G2409,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G3739,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G2730,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1722,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1722,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G1093,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:1,WORD,,G958,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G3739,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G1096,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G3056,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G2316,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G4314,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G846,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G1722,Major Prophets,Old Testament,Jeremiah,LXX
1,Jeremiah1:2,WORD,,G3588,Major Prophets,Old Testament,Jeremiah,LXX
