bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joel1:1,WORD,,G3056,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G2962,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G3739,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G1096,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G4314,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G2493,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:1,WORD,,,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G191,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1211,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3778,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G4245,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G2532,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1801,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3956,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G2730,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1093,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1487,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1096,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G5108,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1722,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G2250,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G4771,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G2228,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G1722,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G2250,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G3962,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:2,WORD,,G4771,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G5228,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G846,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G5043,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G4771,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G1334,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G2532,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G5043,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G4771,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G5043,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G846,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G2532,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G3588,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G5043,Minor Prophets,Old Testament,Joel,LXX
1,Joel1:3,WORD,,G846,Minor Prophets,Old Testament,Joel,LXX
