bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jonah1:1,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G1096,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G3056,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G2962,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G4314,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G2494,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:1,WORD,,G3004,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G450,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G4198,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G4172,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3173,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G2784,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G1722,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G846,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3754,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G305,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G2906,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G2549,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G846,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G4314,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:2,WORD,,G1473,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G450,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2495,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G5343,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1537,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G4383,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2962,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2597,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2445,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2147,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G4143,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1325,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G846,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1684,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G846,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G4126,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G3326,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G846,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G1537,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G4383,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:3,WORD,,G2962,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G2962,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G1825,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G4151,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G1519,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G3588,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G2281,Minor Prophets,Old Testament,Jonah,LXX
1,Jonah1:4,WORD,,G2532,Minor Prophets,Old Testament,Jonah,LXX
