bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Lamentations1:1,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1096,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3326,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G163,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2474,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2419,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2049,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2523,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2408,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2799,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2354,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2355,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3778,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1909,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2419,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2036,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G4459,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2523,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3441,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G4172,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G4129,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G2992,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1096,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G5613,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G5503,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G4129,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1484,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G757,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G5561,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1096,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G1519,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:1,WORD,,G5411,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G2799,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G2799,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3571,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1144,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1909,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G4600,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3756,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G5225,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3870,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G575,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3956,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G25,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3956,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G5368,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G114,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1096,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G1519,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:2,WORD,,G2190,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3351,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2449,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G575,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G5014,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2532,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G575,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G4128,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G1397,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2523,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G1484,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3756,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2147,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G372,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3956,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2614,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2638,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G846,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G303,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3319,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:3,WORD,,G2346,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3598,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G4622,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3996,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3844,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3588,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3361,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G1510,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G2064,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G1722,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G1859,Major Prophets,Old Testament,Lamentations,LXX
1,Lamentations1:4,WORD,,G3956,Major Prophets,Old Testament,Lamentations,LXX
