bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Malachi1:1,WORD,,,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G3056,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G2962,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G1909,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G2474,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G1722,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G5495,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G32,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G846,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G5087,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G1211,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G1909,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G2588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:1,WORD,,G4771,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G25,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G4771,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G3004,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2962,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2532,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2036,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G1722,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G5101,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G25,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G1473,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G3756,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G80,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G1510,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2269,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2384,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G3004,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2962,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2532,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G25,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:2,WORD,,G2384,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G1161,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G2269,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G3404,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G2532,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G5021,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G3725,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G846,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G1519,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G854,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G2532,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G3588,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G2817,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G846,Minor Prophets,Old Testament,Malachi,LXX
1,Malachi1:3,WORD,,G1519,Minor Prophets,Old Testament,Malachi,LXX
