bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Matthew1:1 ,PHRASE,The record,G976,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,of the genealogy,G1078,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,of Jesus,G2424,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,the Messiah,G5547,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,the son,G5207,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,of David,G1138,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,the son,G5207,Gospels,New Testament,Matthew,LXX
1,Matthew1:1 ,PHRASE,of Abraham,G11,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,Abraham,G11,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,PHRASE,was the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,PHRASE,of Isaac,G2464,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,Isaac,G2464,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,the,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,PHRASE,of Jacob,G2384,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,and,G1161,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,Jacob,G2384,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,PHRASE,the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,PHRASE,of Judah,G2455,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,and,G2532,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,his,G846,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:2 ,WORD,brothers,G80,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,Judah,G2455,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,was the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,of Perez,G5329,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,and,G2532,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,Zerah,G2196,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,by,G1537,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,Tamar,G2283,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,Perez,G5329,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,was the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,of Hezron,G2074,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,and,G1161,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,Hezron,G2074,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:3 ,PHRASE,of Ram,G689,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,Ram,G689,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,was the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,of Amminadab,G284,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,Amminadab,G284,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,of Nahshon,G3476,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,and,G1161,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,Nahshon,G3476,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,the father,G1080,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,WORD,,G3588,Gospels,New Testament,Matthew,LXX
1,Matthew1:4 ,PHRASE,of Salmon,G4533,Gospels,New Testament,Matthew,LXX
1,Matthew1:5 ,WORD,Salmon,G4533,Gospels,New Testament,Matthew,LXX
1,Matthew1:5 ,PHRASE,was the father,G1080,Gospels,New Testament,Matthew,LXX
